,DATA_EPI,CASO
0,2011-12,1
1,2011-13,1
2,2011-19,1
3,2011-21,1
4,2014-36,1
5,2014-37,1
6,2014-42,1
7,2018-24,3
8,2018-25,1
9,2018-26,8
10,2018-27,2
11,2018-28,2
12,2019-10,1
13,2019-27,2
14,2019-28,1
15,2019-30,2
16,2019-31,4
17,2019-32,1
18,2019-33,2
19,2019-34,6
20,2019-35,4
21,2019-36,1
22,2019-37,5
23,2019-38,1
24,2019-39,6
25,2019-40,9
26,2019-41,4
27,2019-42,6
28,2019-43,10
29,2019-44,10
30,2019-45,8
31,2019-46,9
32,2019-47,18
33,2019-48,8
34,2019-49,3
35,2019-50,7
36,2019-51,7
37,2019-52,6
38,2020-01,24
39,2020-02,18
40,2020-03,52
41,2020-04,34
42,2020-05,51
43,2020-06,32
44,2020-07,78
45,2020-08,51
46,2020-09,69
47,2020-10,83
48,2020-11,63
49,2020-12,29
50,2020-13,14
51,2020-14,6
52,2020-15,3
53,2020-16,1
54,2020-17,2
55,2020-20,1
56,2020-22,1
57,2020-25,1
58,2020-26,2
59,2020-33,1
60,2020-35,1
61,2020-40,3
62,2020-45,2
63,2021-22,1
64,2021-46,2
65,2022-16,1
66,2022-17,1
