,DATA_EPI,NU_IDADE_N_x,NU_IDADE_N_y
0,2007-01,17.0,0.0
1,2007-02,9.0,0.0
2,2007-03,0.7916666666666667,0.2946278254943947
3,2007-09,34.0,0.0
4,2007-16,13.0,7.0710678118654755
5,2007-18,1.0,0.0
6,2007-19,2.0,0.0
7,2007-22,34.0,0.0
8,2007-23,27.0,0.0
9,2007-26,4.0,0.0
10,2007-28,35.0,0.0
11,2007-32,33.0,0.0
12,2007-33,1.0,0.0
13,2007-34,22.0,0.0
14,2007-35,1.0,0.0
15,2007-37,4.0,0.0
16,2007-39,5.0,4.242640687119285
17,2007-40,38.0,0.0
18,2007-41,4.0,0.0
19,2007-43,25.0,0.0
20,2007-44,31.0,0.0
21,2007-45,4.0,0.0
22,2007-46,1.0,0.0
23,2007-49,22.5,7.7781745930520225
24,2008-08,23.0,0.0
25,2008-09,3.0,0.0
26,2008-10,1.0,0.0
27,2008-12,4.0,0.0
28,2008-22,6.0,0.0
29,2008-29,4.0,2.8284271247461903
30,2008-30,0.75,0.0
31,2008-31,1.0,0.0
32,2008-33,24.0,0.0
33,2008-35,8.75,4.425306015783918
34,2008-37,11.0,0.0
35,2008-44,32.0,0.0
36,2009-20,4.0,0.0
37,2009-37,28.0,0.0
38,2009-38,13.0,0.0
39,2009-47,0.0,0.0
40,2010-21,25.0,0.0
41,2010-27,18.0,0.0
42,2010-30,25.666666666666668,0.5773502691896255
43,2010-31,11.0,0.0
44,2010-32,8.333333333333334,3.785938897200183
45,2010-33,26.472222222222225,18.077738509825547
46,2010-34,27.666666666666668,22.678918257565403
47,2010-35,20.0,18.16424550634611
48,2010-36,12.238095238095239,16.12971353527888
49,2010-37,11.54761904761905,13.110186273542574
50,2010-38,11.225,13.831104795949715
51,2010-39,9.1,9.913234700249067
52,2010-40,18.0,11.343133018115703
53,2010-41,7.0,8.755950357709132
54,2010-43,24.0,24.041630560342615
55,2010-44,8.395833333333332,8.820056846629605
56,2010-45,3.0,0.0
57,2010-46,5.0,0.0
58,2010-48,0.5833333333333334,0.0
59,2011-04,41.0,0.0
60,2011-09,28.0,0.0
61,2011-11,9.0,0.0
62,2011-12,26.0,0.0
63,2011-13,0.3333333333333333,0.0
64,2011-14,2.0,0.0
65,2011-16,26.333333333333332,21.548395145191982
66,2011-17,21.013698630136986,29.679112021309336
67,2011-18,14.0,9.899494936611665
68,2011-19,14.333333333333334,10.692676621563628
69,2011-20,40.0,0.0
70,2011-21,13.5,17.67766952966369
71,2011-22,7.375,9.369164850721754
72,2011-25,1.6666666666666667,1.8856180831641267
73,2011-30,6.0,0.0
74,2011-31,10.305555555555555,8.373376017230203
75,2011-32,15.0,0.0
76,2011-33,0.75,0.0
77,2011-34,7.9833333333333325,6.503311122463352
78,2011-35,29.0,0.0
79,2011-36,0.9166666666666666,0.0
80,2011-37,4.104166666666666,7.263995112883818
81,2011-38,6.0,0.0
82,2011-39,21.0,0.0
83,2011-40,2.9583333333333335,2.887352689845069
84,2011-41,22.0,16.97056274847714
85,2011-42,7.0,0.0
86,2011-47,11.0,0.0
87,2011-51,0.5833333333333334,0.0
88,2012-01,49.0,0.0
89,2012-24,2.0,0.0
90,2012-30,0.9166666666666666,0.0
91,2012-52,20.0,0.0
92,2013-02,17.75,3.304037933599835
93,2013-05,23.0,0.0
94,2013-11,21.5,26.16295090390226
95,2013-12,1.0,0.0
96,2013-13,9.466666666666665,12.67729816991337
97,2013-14,5.138888888888888,7.676774737503399
98,2013-15,0.9583333333333333,0.05892556509887902
99,2013-16,0.7666666666666666,0.3881938232950706
100,2013-17,1.2083333333333333,0.529237746757157
101,2013-18,8.409722222222223,14.677013324169366
102,2013-19,9.981481481481481,13.911911474136023
103,2013-20,9.433333333333334,18.67715479164616
104,2013-21,7.666666666666667,11.547005383792515
105,2013-22,3.6041666666666665,5.298200877626531
106,2013-23,0.638888888888889,0.23372982186625146
107,2013-24,2.238095238095238,3.8749039926662636
108,2013-25,6.369047619047619,9.472652785447739
109,2013-26,10.333333333333334,9.504384952922168
110,2013-27,5.1,9.447662850320885
111,2013-28,12.020833333333334,20.096339149761135
112,2013-29,9.633333333333333,10.555672513971919
113,2013-30,10.125,14.675257900440608
114,2013-31,4.0,7.272474743090476
115,2013-32,1.0,0.0
116,2013-33,3.6875,6.215413561521127
117,2013-34,0.7083333333333334,0.1767766952966369
118,2013-35,1.5,0.7071067811865476
119,2013-37,1.0,0.0
120,2013-38,0.5416666666666667,0.058925565098878946
121,2013-39,21.0,0.0
122,2013-41,42.0,0.0
123,2013-42,36.5,16.263455967290593
124,2013-43,24.416666666666668,33.35186984596549
125,2013-44,0.7916666666666667,0.19837301190396803
126,2013-45,16.558333333333334,17.599104301703033
127,2013-46,21.148148148148145,18.064783966410623
128,2013-47,6.222222222222221,10.75480082292279
129,2013-48,3.75,7.025169696118326
130,2013-49,5.205555555555555,10.965397716906901
131,2013-50,6.87962962962963,14.252382300323266
132,2013-51,0.375,0.05892556509887899
133,2013-52,15.483333333333334,19.852616676118263
134,2014-01,0.6979166666666666,0.1833198046956487
135,2014-02,11.13888888888889,12.521912011481332
136,2014-03,5.654040404040404,10.980908329838496
137,2014-04,11.98202614379085,15.986907088523427
138,2014-05,8.465116279069768,11.803397084070863
139,2014-06,5.0548811210832945,7.547084285698924
140,2014-07,8.93859649122807,13.026677343516488
141,2014-08,9.805555555555555,18.60220652347693
142,2014-09,9.178571428571429,11.59186621877006
143,2014-10,12.87962962962963,19.61482888902371
144,2014-11,8.268518518518519,9.463542781395805
