,DATA_EPI,CASO
0,2019-25,1
1,2019-37,1
2,2020-07,2
3,2020-15,1
4,2020-16,1
5,2020-17,1
6,2020-18,1
7,2020-26,1
8,2020-27,3
9,2020-28,5
10,2020-29,5
11,2020-30,1
12,2020-31,1
13,2020-32,2
14,2020-33,3
15,2020-34,3
16,2020-35,4
17,2020-36,4
18,2020-37,5
19,2020-38,7
20,2020-39,5
21,2020-40,8
22,2020-41,3
23,2020-43,2
24,2020-44,1
25,2020-45,2
26,2020-46,7
27,2020-47,11
28,2020-48,15
29,2020-49,13
30,2020-50,29
31,2020-51,16
32,2020-52,26
33,2020-53,16
34,2021-01,31
35,2021-02,21
36,2021-03,28
37,2021-04,27
38,2021-05,25
39,2021-06,22
40,2021-07,29
41,2021-08,19
42,2021-09,17
43,2021-10,10
44,2021-11,18
45,2021-12,12
46,2021-13,15
47,2021-14,13
48,2021-15,8
49,2021-16,16
50,2021-17,6
51,2021-18,7
52,2021-19,12
53,2021-20,3
54,2021-21,5
55,2021-22,3
56,2021-23,2
57,2021-24,3
58,2021-25,4
59,2021-26,6
60,2021-27,2
61,2021-28,2
62,2021-29,5
63,2021-30,3
64,2021-31,3
65,2021-32,3
66,2021-33,3
67,2021-34,3
68,2021-35,3
69,2021-36,1
70,2021-37,1
71,2021-38,3
72,2021-39,5
73,2021-40,2
74,2021-41,3
75,2021-44,2
76,2021-45,2
77,2021-46,3
78,2021-48,1
79,2021-49,1
80,2021-50,1
81,2022-01,1
82,2022-02,2
83,2022-03,1
84,2022-04,3
85,2022-05,1
86,2022-06,1
87,2022-07,1
88,2022-08,1
89,2022-10,1
90,2022-11,1
91,2022-14,2
92,2022-15,3
93,2022-16,2
94,2022-17,1
95,2022-22,1
