,DATA_EPI,CASO
0,2018-07,2
1,2018-09,3
2,2018-10,6
3,2018-11,11
4,2018-12,10
5,2018-13,21
6,2018-14,26
7,2018-15,34
8,2018-16,38
9,2018-17,38
10,2018-18,58
11,2018-19,123
12,2018-20,124
13,2018-21,184
14,2018-22,269
15,2018-23,350
16,2018-24,434
17,2018-25,505
18,2018-26,631
19,2018-27,822
20,2018-28,738
21,2018-29,827
22,2018-30,726
23,2018-31,610
24,2018-32,548
25,2018-33,433
26,2018-34,344
27,2018-35,209
28,2018-36,156
29,2018-37,139
30,2018-38,93
31,2018-39,73
32,2018-40,52
33,2018-41,48
34,2018-42,35
35,2018-43,26
36,2018-44,21
37,2018-45,10
38,2018-46,5
39,2018-47,3
40,2018-48,2
41,2018-49,1
42,2018-50,1
43,2018-52,1
44,2019-02,1
45,2019-03,1
46,2019-04,1
47,2019-05,1
48,2019-52,1
49,2020-04,1
50,2020-05,2
51,2020-06,2
52,2020-10,1
