,ID_MN_RESI,"(0, 4]","(14, 19]","(19, 29]","(29, 39]","(39, 49]","(4, 9]","(49, 59]","(59, 69]","(69, 79]","(79, 120]","(9, 14]",TOTAL
49,140017.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
50,140020.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,140030.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,140045.0,24.0,2.0,7.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,53.0
53,140047.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
54,140050.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
55,150010.0,32.0,43.0,50.0,30.0,14.0,6.0,5.0,0.0,0.0,0.0,14.0,194.0
56,150020.0,6.0,13.0,11.0,7.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,45.0
57,150030.0,36.0,23.0,58.0,15.0,7.0,8.0,1.0,0.0,0.0,0.0,11.0,159.0
58,150040.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,150050.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,150070.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
61,150080.0,174.0,198.0,377.0,133.0,55.0,42.0,16.0,3.0,1.0,0.0,41.0,1040.0
62,150090.0,20.0,11.0,34.0,11.0,3.0,3.0,5.0,1.0,0.0,1.0,4.0,93.0
63,150095.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
64,150100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,150110.0,28.0,16.0,8.0,6.0,2.0,5.0,1.0,0.0,0.0,0.0,9.0,75.0
66,150120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,150130.0,16.0,8.0,14.0,4.0,5.0,11.0,3.0,1.0,0.0,0.0,3.0,65.0
68,150140.0,323.0,344.0,382.0,158.0,42.0,73.0,22.0,2.0,0.0,0.0,89.0,1435.0
69,150150.0,10.0,13.0,24.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,56.0
70,150160.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
71,150170.0,12.0,11.0,17.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,55.0
72,150175.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,150180.0,84.0,36.0,33.0,15.0,11.0,14.0,5.0,0.0,0.0,0.0,15.0,213.0
74,150190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,150200.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
76,150210.0,17.0,29.0,39.0,20.0,5.0,6.0,0.0,1.0,0.0,0.0,6.0,123.0
77,150215.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
78,150220.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
79,150230.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
80,150240.0,23.0,11.0,14.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,63.0
81,150250.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0
82,150275.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
