,DATA_EPI,CASO
0,2019-07,1
1,2019-11,1
2,2019-31,1
3,2019-32,5
4,2019-33,9
5,2019-34,5
6,2019-35,9
7,2019-36,15
8,2019-37,75
9,2019-38,45
10,2019-39,70
11,2019-40,50
12,2019-41,65
13,2019-42,79
14,2019-43,65
15,2019-44,70
16,2019-45,91
17,2019-46,73
18,2019-47,84
19,2019-48,79
20,2019-49,73
21,2019-50,37
22,2019-51,38
23,2019-52,47
24,2020-01,41
25,2020-02,51
26,2020-03,43
27,2020-04,32
28,2020-05,30
29,2020-06,33
30,2020-07,34
31,2020-08,24
32,2020-09,19
33,2020-10,13
34,2020-11,13
35,2020-12,14
36,2020-13,3
37,2020-14,2
38,2020-17,1
39,2022-40,1
