,DATA_EPI,CASO
0,2007-19,1
1,2019-36,1
2,2019-38,1
3,2019-39,1
4,2019-40,1
5,2019-42,1
6,2019-44,3
7,2019-45,5
8,2019-46,10
9,2019-47,7
10,2019-48,17
11,2019-49,6
12,2019-50,8
13,2019-51,15
14,2019-52,13
15,2020-01,38
16,2020-02,46
17,2020-03,61
18,2020-04,60
19,2020-05,72
20,2020-06,55
21,2020-07,54
22,2020-08,73
23,2020-09,77
24,2020-10,72
25,2020-11,84
26,2020-12,82
27,2020-13,98
28,2020-14,58
29,2020-15,18
30,2020-16,5
31,2020-17,1
32,2020-18,2
33,2020-22,2
34,2020-27,1
35,2020-29,1
36,2020-31,1
