,DATA_EPI,CASO
0,2019-07,1
1,2019-11,1
2,2019-28,1
3,2019-32,5
4,2019-33,9
5,2019-34,4
6,2019-35,9
7,2019-36,14
8,2019-37,65
9,2019-38,44
10,2019-39,64
11,2019-40,48
12,2019-41,58
13,2019-42,70
14,2019-43,58
15,2019-44,64
16,2019-45,87
17,2019-46,67
18,2019-47,75
19,2019-48,66
20,2019-49,69
21,2019-50,31
22,2019-51,34
23,2019-52,42
24,2020-01,33
25,2020-02,49
26,2020-03,36
27,2020-04,29
28,2020-05,26
29,2020-06,32
30,2020-07,33
31,2020-08,20
32,2020-09,13
33,2020-10,13
34,2020-11,11
35,2020-12,12
36,2020-13,3
37,2020-14,3
38,2020-16,1
