,ID_MUNICIP,GRUPO_IDADE,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
124,130320,"(0, 4]",11,1.0,10.0,0.0,13
125,130320,"(19, 29]",4,0.0,4.0,0.0,13
126,130320,"(29, 39]",3,1.0,2.0,0.0,13
127,130320,"(39, 49]",1,0.0,1.0,0.0,13
128,130320,"(4, 9]",2,0.0,1.0,1.0,13
129,130320,"(49, 59]",2,0.0,2.0,0.0,13
130,130320,"(9, 14]",3,0.0,3.0,0.0,13
131,130330,"(0, 4]",1,1.0,0.0,0.0,13
132,130330,"(19, 29]",2,0.0,2.0,0.0,13
133,130340,"(0, 4]",1,0.0,1.0,0.0,13
134,130340,"(14, 19]",5,3.0,2.0,0.0,13
135,130340,"(19, 29]",1,0.0,1.0,0.0,13
136,130340,"(29, 39]",5,0.0,5.0,0.0,13
137,130340,"(39, 49]",2,0.0,2.0,0.0,13
138,130340,"(4, 9]",1,0.0,1.0,0.0,13
139,130340,"(49, 59]",1,0.0,1.0,0.0,13
140,130340,"(9, 14]",1,0.0,1.0,0.0,13
141,130353,"(0, 4]",6,1.0,5.0,0.0,13
142,130353,"(14, 19]",2,1.0,1.0,0.0,13
143,130353,"(19, 29]",6,3.0,3.0,0.0,13
144,130353,"(29, 39]",1,0.0,1.0,0.0,13
145,130353,"(39, 49]",2,1.0,1.0,0.0,13
146,130353,"(9, 14]",1,1.0,0.0,0.0,13
147,130353,nan,1,0.0,1.0,0.0,13
148,130356,"(0, 4]",16,3.0,11.0,2.0,13
149,130356,"(14, 19]",2,0.0,1.0,1.0,13
150,130356,"(19, 29]",1,0.0,0.0,1.0,13
151,130356,"(29, 39]",4,2.0,1.0,1.0,13
152,130356,"(4, 9]",2,0.0,0.0,2.0,13
153,130356,"(59, 69]",1,0.0,0.0,1.0,13
154,130380,"(29, 39]",1,1.0,0.0,0.0,13
155,130406,"(0, 4]",1,1.0,0.0,0.0,13
156,130410,"(0, 4]",3,1.0,2.0,0.0,13
157,130410,"(14, 19]",1,1.0,0.0,0.0,13
158,130410,"(19, 29]",1,1.0,0.0,0.0,13
159,130420,"(0, 4]",16,2.0,12.0,2.0,13
160,130420,"(14, 19]",10,4.0,3.0,3.0,13
161,130420,"(19, 29]",2,0.0,2.0,0.0,13
162,130420,"(29, 39]",2,0.0,1.0,1.0,13
163,130420,"(4, 9]",4,2.0,1.0,1.0,13
164,130420,"(9, 14]",3,2.0,0.0,1.0,13
