,ID_MUNICIP,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
131,150797,1,0.0,0.0,1.0,15
132,150800,5,2.0,0.0,3.0,15
133,150803,20,4.0,14.0,2.0,15
134,150810,6,1.0,5.0,0.0,15
135,150812,3,0.0,3.0,0.0,15
136,150820,5,1.0,3.0,1.0,15
137,150830,58,16.0,25.0,17.0,15
138,160015,2,1.0,1.0,0.0,16
139,160021,2,1.0,1.0,0.0,16
140,160023,2,0.0,2.0,0.0,16
141,160025,1,0.0,1.0,0.0,16
142,160030,642,75.0,482.0,85.0,16
143,160040,13,5.0,7.0,1.0,16
144,160050,18,7.0,11.0,0.0,16
145,160053,4,1.0,2.0,1.0,16
146,160060,217,12.0,146.0,59.0,16
147,160070,4,1.0,1.0,2.0,16
148,160080,1,0.0,0.0,1.0,16
149,170210,1,0.0,0.0,1.0,17
150,171820,2,0.0,2.0,0.0,17
151,210203,1,0.0,1.0,0.0,21
152,210290,19,3.0,12.0,4.0,21
153,210300,1,0.0,1.0,0.0,21
154,210330,1,0.0,0.0,1.0,21
155,210570,1,0.0,1.0,0.0,21
156,210600,1,0.0,1.0,0.0,21
157,210820,1,0.0,1.0,0.0,21
158,211130,4,3.0,1.0,0.0,21
159,211300,1,0.0,0.0,1.0,21
160,220110,1,1.0,0.0,0.0,22
161,220213,1,0.0,1.0,0.0,22
162,220557,3,1.0,0.0,2.0,22
163,220600,1,1.0,0.0,0.0,22
164,220635,1,1.0,0.0,0.0,22
165,220770,1,1.0,0.0,0.0,22
166,220800,2,1.0,1.0,0.0,22
167,220840,2,0.0,2.0,0.0,22
168,220995,1,1.0,0.0,0.0,22
169,221100,5,0.0,3.0,2.0,22
170,230015,1,1.0,0.0,0.0,23
171,230075,1,1.0,0.0,0.0,23
172,230100,1,0.0,1.0,0.0,23
173,230110,2,2.0,0.0,0.0,23
174,230140,1,1.0,0.0,0.0,23
175,230195,1,1.0,0.0,0.0,23
176,230220,1,1.0,0.0,0.0,23
177,230260,1,0.0,1.0,0.0,23
178,230310,6,3.0,3.0,0.0,23
179,230370,89,14.0,59.0,16.0,23
180,230400,6,2.0,3.0,1.0,23
181,230420,1,0.0,0.0,1.0,23
182,230428,3,1.0,2.0,0.0,23
183,230430,1,1.0,0.0,0.0,23
184,230435,17,3.0,4.0,10.0,23
185,230440,536,107.0,254.0,175.0,23
186,230450,1,0.0,1.0,0.0,23
187,230470,1,1.0,0.0,0.0,23
188,230495,1,0.0,1.0,0.0,23
189,230523,1,0.0,1.0,0.0,23
190,230540,1,0.0,1.0,0.0,23
191,230625,3,3.0,0.0,0.0,23
192,230640,1,0.0,1.0,0.0,23
193,230690,2,1.0,1.0,0.0,23
194,230750,2,2.0,0.0,0.0,23
195,230765,13,4.0,9.0,0.0,23
196,230770,8,5.0,3.0,0.0,23
197,230790,5,3.0,2.0,0.0,23
198,230800,131,35.0,72.0,24.0,23
199,230820,5,3.0,2.0,0.0,23
200,230880,1,0.0,1.0,0.0,23
201,230900,2,0.0,2.0,0.0,23
202,230960,1,0.0,1.0,0.0,23
203,231020,5,2.0,3.0,0.0,23
204,231070,1,0.0,1.0,0.0,23
205,231085,1,0.0,0.0,1.0,23
206,231170,1,1.0,0.0,0.0,23
207,231200,5,2.0,2.0,1.0,23
208,231280,4,2.0,2.0,0.0,23
209,231290,91,20.0,30.0,41.0,23
210,231350,7,2.0,0.0,5.0,23
211,231355,3,3.0,0.0,0.0,23
212,231380,59,10.0,29.0,20.0,23
213,231390,1,1.0,0.0,0.0,23
214,231395,1,1.0,0.0,0.0,23
215,240325,1,1.0,0.0,0.0,24
216,240710,1,1.0,0.0,0.0,24
217,240810,7,5.0,1.0,1.0,24
218,240940,1,0.0,0.0,1.0,24
219,241445,2,0.0,1.0,1.0,24
220,250150,1,1.0,0.0,0.0,25
221,250170,3,1.0,1.0,1.0,25
222,250180,5,4.0,1.0,0.0,25
223,250250,1,1.0,0.0,0.0,25
224,250300,2,0.0,2.0,0.0,25
225,250320,2,1.0,1.0,0.0,25
226,250400,6,2.0,4.0,0.0,25
227,250460,1,0.0,1.0,0.0,25
228,250570,1,1.0,0.0,0.0,25
229,250580,1,1.0,0.0,0.0,25
230,250600,1,0.0,1.0,0.0,25
231,250630,1,0.0,1.0,0.0,25
232,250690,1,0.0,0.0,1.0,25
233,250750,87,31.0,51.0,5.0,25
234,250870,1,1.0,0.0,0.0,25
235,250890,1,1.0,0.0,0.0,25
236,251080,1,0.0,1.0,0.0,25
237,251140,1,1.0,0.0,0.0,25
238,251315,2,0.0,0.0,2.0,25
239,251370,3,3.0,0.0,0.0,25
240,251530,1,1.0,0.0,0.0,25
241,251600,1,0.0,1.0,0.0,25
242,251620,11,4.0,6.0,1.0,25
243,251630,1,0.0,1.0,0.0,25
244,260005,8,0.0,7.0,1.0,26
245,260010,1,0.0,1.0,0.0,26
246,260050,2,0.0,2.0,0.0,26
247,260120,3,2.0,1.0,0.0,26
248,260170,1,0.0,0.0,1.0,26
249,260190,2,2.0,0.0,0.0,26
250,260230,1,1.0,0.0,0.0,26
251,260260,10,1.0,5.0,4.0,26
252,260290,30,6.0,21.0,3.0,26
253,260300,1,1.0,0.0,0.0,26
254,260340,1,1.0,0.0,0.0,26
255,260345,5,4.0,0.0,1.0,26
256,260380,3,2.0,0.0,1.0,26
257,260400,4,1.0,2.0,1.0,26
258,260410,28,7.0,14.0,7.0,26
259,260450,1,0.0,1.0,0.0,26
260,260460,3,1.0,2.0,0.0,26
261,260500,2,1.0,1.0,0.0,26
262,260510,4,1.0,3.0,0.0,26
263,260520,6,0.0,6.0,0.0,26
264,260580,1,0.0,0.0,1.0,26
265,260590,1,0.0,1.0,0.0,26
266,260610,2,1.0,1.0,0.0,26
267,260620,29,5.0,21.0,3.0,26
268,260640,2,0.0,0.0,2.0,26
269,260660,7,7.0,0.0,0.0,26
270,260680,6,0.0,3.0,3.0,26
271,260720,4,1.0,3.0,0.0,26
272,260750,1,1.0,0.0,0.0,26
273,260790,20,5.0,9.0,6.0,26
274,260800,2,1.0,0.0,1.0,26
275,260845,5,1.0,2.0,2.0,26
276,260850,1,1.0,0.0,0.0,26
277,260880,9,3.0,6.0,0.0,26
278,260890,3,1.0,1.0,1.0,26
279,260950,1,0.0,1.0,0.0,26
280,260960,12,6.0,6.0,0.0,26
281,260990,1,1.0,0.0,0.0,26
282,261000,1,1.0,0.0,0.0,26
283,261070,18,7.0,8.0,3.0,26
284,261090,3,2.0,0.0,1.0,26
285,261110,3,2.0,1.0,0.0,26
286,261160,213,69.0,115.0,29.0,26
287,261170,2,1.0,1.0,0.0,26
288,261250,66,11.0,48.0,7.0,26
289,261270,2,1.0,1.0,0.0,26
290,261300,1,1.0,0.0,0.0,26
291,261310,1,1.0,0.0,0.0,26
292,261370,1,0.0,1.0,0.0,26
293,261410,3,0.0,2.0,1.0,26
294,261420,2,1.0,1.0,0.0,26
295,261450,2,2.0,0.0,0.0,26
296,261470,1,0.0,0.0,1.0,26
297,261500,38,8.0,22.0,8.0,26
298,261520,1,1.0,0.0,0.0,26
299,261530,1,1.0,0.0,0.0,26
300,261540,25,3.0,2.0,20.0,26
301,261550,1,1.0,0.0,0.0,26
302,261620,15,8.0,4.0,3.0,26
303,261640,14,3.0,10.0,1.0,26
304,270030,2,0.0,2.0,0.0,27
305,270170,10,8.0,2.0,0.0,27
306,270180,1,1.0,0.0,0.0,27
307,270430,19,11.0,1.0,7.0,27
308,270440,1,1.0,0.0,0.0,27
309,270450,1,0.0,1.0,0.0,27
310,270500,7,3.0,4.0,0.0,27
311,270630,1,0.0,0.0,1.0,27
312,270640,1,0.0,1.0,0.0,27
313,270710,1,1.0,0.0,0.0,27
314,270800,6,2.0,0.0,4.0,27
315,270840,1,0.0,1.0,0.0,27
316,280030,5,3.0,2.0,0.0,28
317,280210,2,1.0,0.0,1.0,28
318,280580,1,1.0,0.0,0.0,28
319,280710,7,1.0,5.0,1.0,28
320,290080,1,0.0,0.0,1.0,29
321,290135,2,0.0,2.0,0.0,29
322,290210,1,1.0,0.0,0.0,29
323,290350,1,0.0,1.0,0.0,29
324,290360,1,0.0,0.0,1.0,29
325,290520,2,0.0,0.0,2.0,29
326,290540,2,1.0,0.0,1.0,29
327,290560,2,0.0,2.0,0.0,29
328,290570,1,0.0,1.0,0.0,29
329,290650,2,2.0,0.0,0.0,29
330,290820,2,2.0,0.0,0.0,29
331,290840,2,1.0,0.0,1.0,29
332,291080,15,7.0,2.0,6.0,29
333,291120,5,2.0,3.0,0.0,29
334,291185,1,1.0,0.0,0.0,29
335,291360,4,3.0,0.0,1.0,29
336,291390,1,1.0,0.0,0.0,29
337,291450,1,1.0,0.0,0.0,29
338,291480,2,1.0,0.0,1.0,29
339,291650,1,1.0,0.0,0.0,29
340,291730,3,0.0,3.0,0.0,29
341,291750,1,1.0,0.0,0.0,29
342,291840,1,1.0,0.0,0.0,29
343,291920,1,0.0,0.0,1.0,29
344,291955,2,1.0,1.0,0.0,29
345,292200,1,1.0,0.0,0.0,29
346,292350,1,0.0,1.0,0.0,29
347,292380,1,0.0,1.0,0.0,29
348,292530,4,3.0,1.0,0.0,29
349,292560,1,0.0,1.0,0.0,29
350,292575,4,2.0,1.0,1.0,29
351,292590,2,2.0,0.0,0.0,29
352,292660,2,1.0,1.0,0.0,29
353,292740,14,5.0,3.0,6.0,29
354,292860,1,1.0,0.0,0.0,29
355,292870,1,0.0,1.0,0.0,29
356,293050,1,1.0,0.0,0.0,29
357,293080,1,0.0,1.0,0.0,29
358,310150,1,1.0,0.0,0.0,31
359,310350,2,2.0,0.0,0.0,31
360,310530,1,1.0,0.0,0.0,31
361,310620,72,41.0,22.0,9.0,31
362,310670,3,2.0,1.0,0.0,31
363,310730,1,1.0,0.0,0.0,31
364,310830,1,1.0,0.0,0.0,31
365,310950,1,0.0,1.0,0.0,31
366,311050,1,0.0,1.0,0.0,31
367,311450,1,1.0,0.0,0.0,31
368,311580,1,1.0,0.0,0.0,31
369,311660,2,0.0,0.0,2.0,31
370,311700,1,1.0,0.0,0.0,31
371,311830,1,0.0,0.0,1.0,31
372,312230,1,1.0,0.0,0.0,31
373,312595,1,1.0,0.0,0.0,31
374,312710,1,0.0,1.0,0.0,31
375,312860,1,1.0,0.0,0.0,31
376,313130,1,1.0,0.0,0.0,31
377,313160,1,0.0,1.0,0.0,31
378,313300,1,1.0,0.0,0.0,31
379,313380,1,1.0,0.0,0.0,31
380,313440,1,1.0,0.0,0.0,31
381,313670,9,5.0,4.0,0.0,31
382,313820,1,0.0,1.0,0.0,31
383,313860,1,1.0,0.0,0.0,31
384,314000,1,1.0,0.0,0.0,31
385,314160,3,0.0,3.0,0.0,31
386,314220,1,1.0,0.0,0.0,31
387,314300,1,1.0,0.0,0.0,31
388,314330,1,0.0,1.0,0.0,31
389,314390,1,1.0,0.0,0.0,31
390,314480,8,8.0,0.0,0.0,31
391,314500,1,1.0,0.0,0.0,31
392,314520,2,2.0,0.0,0.0,31
393,314535,1,1.0,0.0,0.0,31
394,314590,1,1.0,0.0,0.0,31
395,314690,1,1.0,0.0,0.0,31
396,314760,2,2.0,0.0,0.0,31
397,314790,1,1.0,0.0,0.0,31
398,314910,1,1.0,0.0,0.0,31
399,314930,1,1.0,0.0,0.0,31
400,315170,2,1.0,1.0,0.0,31
401,315180,2,2.0,0.0,0.0,31
402,315250,6,3.0,2.0,1.0,31
403,315460,2,2.0,0.0,0.0,31
404,315480,1,1.0,0.0,0.0,31
405,315580,1,0.0,1.0,0.0,31
406,315600,1,1.0,0.0,0.0,31
407,315727,1,1.0,0.0,0.0,31
408,315780,1,0.0,1.0,0.0,31
