,ID_MN_RESI,CASO,CASO_VAC,CASO_N_VAC,CASO_IGN,COV_1,E_COV_1,COV_2,E_COV_2
58,351060.0,330,105.0,158.0,67.0,0.9395826504971049,0.013115696515884638,0.9117540568118233,0.015614542240838402
59,351110.0,6,5.0,1.0,0.0,0.9861932938856016,0.04763766188753923,0.9861932938856016,0.04763766188753923
60,351150.0,5,4.0,1.0,0.0,0.9828009828009827,0.058143290251593246,0.9828009828009827,0.058143290251593246
61,351160.0,3,1.0,1.0,1.0,0.9661835748792271,0.10435975359755005,0.9345794392523366,0.14275936744410714
62,351210.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
63,351220.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,351240.0,3,3.0,0.0,0.0,1.0,0.0,1.0,0.0
65,351250.0,3,3.0,0.0,0.0,1.0,0.0,1.0,0.0
66,351280.0,4,4.0,0.0,0.0,1.0,0.0,1.0,0.0
67,351300.0,147,87.0,25.0,35.0,0.9858585858585858,0.00973856718410294,0.9723191439869738,0.013531174945190943
68,351310.0,5,4.0,1.0,0.0,0.9828009828009827,0.058143290251593246,0.9828009828009827,0.058143290251593246
69,351340.0,16,11.0,5.0,0.0,0.9691629955947137,0.04321897989063563,0.9691629955947137,0.04321897989063563
70,351350.0,23,11.0,5.0,7.0,0.9809264305177112,0.0285213637925443,0.9605829744948658,0.04057377799893709
71,351380.0,160,66.0,43.0,51.0,0.9749187567702691,0.012362285000097556,0.9502050989147932,0.017196541969085193
72,351390.0,9,8.0,1.0,0.0,0.9913258983890954,0.03091001558673227,0.9913258983890954,0.03091001558673227
73,351410.0,2,1.0,1.0,0.0,0.9345794392523366,0.1748438031202776,0.9345794392523366,0.1748438031202776
74,351430.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
75,351440.0,4,3.0,1.0,0.0,0.977198697068404,0.07463478330546967,0.977198697068404,0.07463478330546967
76,351450.0,2,1.0,1.0,0.0,0.9345794392523366,0.1748438031202776,0.9345794392523366,0.1748438031202776
77,351480.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
