,DATA_EPI,CASO
0,2007-19,1
1,2010-27,1
2,2010-30,2
3,2018-31,3
4,2018-32,2
5,2018-33,3
6,2018-34,1
7,2018-40,1
8,2019-32,2
9,2019-33,1
10,2019-36,3
11,2019-37,3
12,2019-38,6
13,2019-39,6
14,2019-41,4
15,2019-42,8
16,2019-43,4
17,2019-44,8
18,2019-45,8
19,2019-46,11
20,2019-47,6
21,2019-48,18
22,2019-49,11
23,2019-50,28
24,2019-51,31
25,2019-52,43
26,2020-01,59
27,2020-02,76
28,2020-03,71
29,2020-04,97
30,2020-05,83
31,2020-06,95
32,2020-07,95
33,2020-08,118
34,2020-09,120
35,2020-10,155
36,2020-11,152
37,2020-12,72
38,2020-13,73
39,2020-14,35
40,2020-15,15
41,2020-16,6
42,2020-18,1
43,2020-19,1
44,2020-21,1
45,2020-22,1
46,2020-24,1
47,2020-29,1
48,2020-38,1
49,2021-10,1
50,2021-12,1
