,DATA_EPI,CASO
0,2010-27,1
1,2010-30,1
2,2018-31,3
3,2018-32,2
4,2018-33,3
5,2018-34,1
6,2018-40,1
7,2019-32,2
8,2019-33,1
9,2019-35,1
10,2019-36,3
11,2019-37,3
12,2019-38,5
13,2019-39,5
14,2019-41,4
15,2019-42,8
16,2019-43,4
17,2019-44,7
18,2019-45,5
19,2019-46,10
20,2019-47,6
21,2019-48,14
22,2019-49,9
23,2019-50,29
24,2019-51,29
25,2019-52,41
26,2020-01,55
27,2020-02,73
28,2020-03,66
29,2020-04,91
30,2020-05,75
31,2020-06,86
32,2020-07,85
33,2020-08,106
34,2020-09,110
35,2020-10,150
36,2020-11,142
37,2020-12,70
38,2020-13,67
39,2020-14,34
40,2020-15,16
41,2020-16,6
42,2020-18,1
43,2020-19,1
44,2020-21,1
45,2020-24,1
46,2020-27,1
47,2020-29,1
48,2020-38,1
49,2021-12,1
