,DATA_EPI,CASO
0,2018-29,1
1,2018-48,1
2,2019-15,1
3,2019-20,1
4,2019-25,1
5,2019-26,1
6,2019-28,2
7,2019-30,1
8,2019-31,4
9,2019-32,2
10,2019-33,6
11,2019-34,7
12,2019-35,6
13,2019-36,3
14,2019-37,9
15,2019-38,8
16,2019-39,8
17,2019-40,4
18,2019-41,11
19,2019-42,8
20,2019-43,11
21,2019-44,11
22,2019-45,5
23,2019-46,3
24,2019-47,3
25,2019-48,8
26,2019-49,1
27,2019-50,3
28,2019-51,3
29,2019-52,2
30,2020-01,1
31,2020-02,2
32,2020-03,3
33,2020-05,1
34,2020-06,1
35,2020-08,2
36,2020-12,3
