,DATA_EPI,CASO
0,2019-17,1
1,2019-21,1
2,2019-23,1
3,2019-24,3
4,2019-25,1
5,2019-26,8
6,2019-27,4
7,2019-28,13
8,2019-29,15
9,2019-30,48
10,2019-31,36
11,2019-32,48
12,2019-33,30
13,2019-34,17
14,2019-35,38
15,2019-36,24
16,2019-37,15
17,2019-38,9
18,2019-39,7
19,2019-40,6
20,2019-41,10
21,2019-42,9
22,2019-43,10
23,2019-44,7
24,2019-45,5
25,2019-46,2
26,2019-47,2
27,2019-48,2
28,2019-49,6
29,2019-50,4
30,2019-51,4
31,2019-52,3
32,2020-01,9
33,2020-02,3
34,2020-03,3
35,2020-05,4
36,2020-06,2
37,2020-07,4
38,2020-08,1
39,2020-09,1
40,2020-13,1
41,2020-22,1
42,2020-25,2
43,2020-30,2
44,2020-39,1
