,DATA_EPI,CASO
0,2019-07,1
1,2019-18,1
2,2019-21,1
3,2019-23,1
4,2019-24,5
5,2019-25,3
6,2019-26,4
7,2019-27,7
8,2019-28,14
9,2019-29,20
10,2019-30,38
11,2019-31,33
12,2019-32,32
13,2019-33,28
14,2019-34,18
15,2019-35,34
16,2019-36,15
17,2019-37,10
18,2019-38,5
19,2019-39,7
20,2019-40,6
21,2019-41,4
22,2019-42,8
23,2019-43,4
24,2019-44,3
25,2019-45,3
26,2019-46,1
27,2019-47,2
28,2019-48,1
29,2020-01,3
30,2020-02,3
31,2020-03,1
32,2020-05,3
33,2020-07,1
34,2020-11,1
35,2020-52,1
