,Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total
4158,411760,5137,4782,4210,4425,9530,7631,6526,5021,3137,1478,626,52503
4159,411770,2488,2431,2254,2354,5557,5201,4592,4177,2871,1473,711,34109
4160,411780,1017,962,789,842,1920,1704,1752,1584,1140,715,330,12755
4161,411790,2010,2029,2033,2145,4946,4997,4394,4160,3009,1855,811,32389
4162,411800,959,957,937,968,2267,2292,1985,1773,1116,612,345,14211
4163,411810,899,900,842,788,1869,1782,1480,1483,909,469,264,11685
4164,411820,12801,12269,11251,12074,26842,23397,21427,17892,11301,5630,2494,157378
4165,411830,248,244,228,210,515,501,443,454,247,126,61,3277
4166,411840,5455,5579,5514,5599,12957,13387,12276,12057,8780,5128,2722,89454
4167,411845,381,393,374,359,817,875,807,760,548,298,143,5755
4168,411850,5581,5599,5670,5934,13890,13715,11097,9947,7595,3977,1774,84779
4169,411860,415,401,365,377,889,864,841,814,527,302,147,5942
4170,411870,481,471,424,471,1203,1116,1042,935,713,388,174,7418
4171,411880,867,861,797,867,2170,2132,1954,1892,1384,736,357,14017
4172,411885,377,389,371,394,896,905,871,875,573,350,193,6194
4173,411890,642,661,660,664,1548,1871,1630,1431,1165,702,432,11406
4174,411900,330,342,306,321,859,858,793,969,796,443,215,6232
4175,411910,1038,992,872,920,2166,1960,1940,1511,957,484,175,13015
4176,411915,9793,9462,9185,10164,22236,20968,20215,15565,10342,5011,1847,134788
4177,411920,376,387,354,380,856,948,889,897,709,355,172,6323
4178,411925,201,197,162,165,419,389,352,372,294,138,53,2742
4179,411930,2900,2747,2352,2530,5919,4524,4121,3541,2385,1212,491,32722
4180,411940,2077,1996,1844,1899,4018,3738,3429,2915,2032,1207,624,25779
4181,411950,10103,9301,8645,9896,22048,17673,15883,11912,6994,3190,1207,116852
4182,411960,2104,2041,1769,1784,4662,4387,4226,3931,2613,1504,665,29686
4183,411965,224,227,204,214,539,463,467,444,280,167,69,3298
4184,411970,268,274,259,273,632,650,550,594,384,243,154,4281
4185,411980,724,743,702,700,1828,1835,1839,2096,1519,937,462,13385
4186,411990,27188,26495,25491,27089,59416,54426,48695,39822,28404,14943,6869,358838
4187,411995,2008,1875,1610,1636,3942,3552,3826,4311,3375,1751,643,28529
4188,412000,671,708,676,709,1720,1754,1898,1884,1337,850,380,12587
4189,412010,340,337,310,347,806,764,657,571,400,241,126,4899
4190,412015,217,212,189,192,473,436,429,397,337,181,70,3133
4191,412020,166,173,160,144,395,371,387,332,240,117,69,2554
4192,412030,301,285,243,254,613,523,569,522,429,215,103,4057
4193,412033,249,257,246,230,583,545,535,508,344,219,90,3806
4194,412035,265,274,255,260,660,712,702,776,576,369,186,5035
4195,412040,363,366,346,376,894,796,781,670,439,246,118,5395
4196,412050,570,581,550,599,1513,1618,1480,1685,1374,757,411,11138
4197,412060,3844,3788,3402,3548,8211,7807,7451,6545,4546,2504,1130,52776
4198,412065,254,264,250,253,593,642,577,739,441,251,156,4420
4199,412070,405,429,432,413,1036,1091,1028,1077,858,494,241,7504
4200,412080,1856,1808,1743,1802,4110,3664,3387,2853,1816,867,347,24253
4201,412085,188,204,202,215,599,576,544,615,446,275,179,4043
4202,412090,2842,2728,2365,2409,5661,4845,4539,4073,2916,1652,677,34707
4203,412100,886,879,775,691,1903,1724,1715,1619,1126,637,302,12257
4204,412110,277,279,256,237,641,612,587,673,444,289,149,4444
4205,412120,1422,1388,1221,1237,2991,2862,2781,2518,1678,904,386,19388
4206,412125,350,340,277,271,732,685,608,554,356,235,92,4500
4207,412130,185,195,183,186,531,506,498,583,432,307,154,3760
4208,412135,154,156,146,151,363,364,369,375,271,154,99,2602
4209,412140,1037,1059,1027,1006,2520,2580,2206,2281,1715,1033,512,16976
4210,412150,1085,1070,977,1021,2392,2208,1911,1983,1312,717,315,14991
4211,412160,490,487,434,406,1009,954,871,968,668,335,150,6772
4212,412170,2393,2262,1969,2080,4482,3952,3501,2864,1834,1115,481,26933
4213,412175,737,694,581,638,1567,1067,1014,855,574,284,116,8127
4214,412180,651,649,601,628,1506,1548,1502,1458,1113,627,339,10622
4215,412190,834,838,746,700,1859,1719,1660,1823,1352,846,492,12869
4216,412200,1168,1115,1005,1072,2599,2415,2102,1829,1189,645,294,15433
