,Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total
0,110001,1601,1592,1556,1623,3652,3568,3101,2901,1782,812,328,22516
1,110002,8396,8262,8317,9490,20100,18822,15160,11695,6809,2991,1106,111148
2,110003,379,375,332,292,724,754,785,699,459,191,77,5067
3,110004,5846,5939,6065,6412,14391,14626,12374,10077,6509,2939,1238,86416
4,110005,1068,1097,1077,1094,2594,2648,2254,2129,1263,617,247,16088
5,110006,1008,1016,987,959,2263,2464,2235,1959,1359,670,293,15213
6,110007,484,481,434,457,1212,1164,1117,854,490,255,104,7052
7,110008,2027,1836,1606,1688,3647,2981,2489,1623,879,359,120,19255
8,110009,2565,2526,2478,2523,5439,5358,4760,3609,2316,1045,390,33009
9,110010,4369,4226,4041,4147,8095,7075,6001,4561,2612,1266,537,46930
10,110011,3811,3751,3670,4034,8536,8760,7306,5477,3584,1760,780,51469
11,110012,9334,9420,9679,10290,21715,22145,18466,14824,9458,4066,1629,131026
12,110013,3777,3659,3374,3374,7066,6613,5789,4085,2544,1096,347,41724
13,110014,1453,1413,1343,1473,3463,3218,3192,2433,1543,717,256,20504
14,110015,2454,2459,2446,2606,5659,5859,4970,4306,2742,1362,582,35445
15,110018,2659,2699,2799,3017,6380,6406,5163,4013,2487,1074,401,37098
16,110020,40997,40298,41794,46354,100011,101217,77119,54491,31271,11501,3899,548952
17,110025,1182,1197,1161,1199,2682,2855,2700,2404,1632,799,354,18165
18,110026,310,297,263,278,590,559,585,491,287,128,55,3843
19,110028,3906,3903,3922,4366,9544,9676,7949,6275,3812,1693,702,55748
20,110029,382,392,381,364,880,954,877,854,516,237,105,5942
21,110030,7970,7868,7954,8580,18356,18122,14605,10878,6484,2719,981,104517
22,110032,1892,1800,1665,1808,4129,3731,3249,2458,1504,677,234,23147
23,110033,3136,2966,2670,2766,5432,4958,4529,3012,1710,746,259,32184
24,110034,1003,980,937,973,2160,2082,2030,1734,1180,514,214,13807
25,110037,1129,1047,963,1070,2269,1909,1930,1516,860,432,143,13268
26,110040,1896,1832,1651,1760,3798,3366,3251,2445,1387,653,219,22258
27,110045,3654,3429,3207,3479,7076,6456,5485,3810,2651,1370,426,41043
28,110050,563,568,525,498,1201,1181,1263,1131,711,348,136,8125
29,110060,542,503,450,484,1008,931,855,702,479,256,97,6307
30,110070,1347,1234,1077,1155,2405,2245,2110,1483,870,358,107,14391
31,110080,2763,2479,2210,2335,4903,4488,3810,2613,1530,718,219,28068
32,110090,192,186,166,185,474,427,453,421,245,131,43,2923
33,110092,1111,1034,952,1006,2237,1890,1665,1079,502,218,61,11755
34,110094,2785,2523,2293,2547,5001,4377,3604,2345,1141,412,103,27131
35,110100,543,507,449,506,1127,1095,1064,877,558,294,110,7130
36,110110,1044,992,859,798,1931,1594,1451,1070,685,300,95,10819
37,110120,763,762,714,704,1543,1467,1296,1071,666,336,139,9461
38,110130,802,767,698,828,1773,1605,1508,1152,886,450,222,10691
39,110140,1362,1294,1156,1285,2744,2374,2270,1734,1144,579,216,16158
40,110143,509,508,491,498,1153,991,1039,819,503,227,84,6822
41,110145,545,528,496,489,1052,1084,818,711,373,169,54,6319
42,110146,212,184,154,154,337,317,307,245,146,55,16,2127
43,110147,182,181,156,178,443,384,398,373,230,121,51,2697
44,110148,327,321,288,299,739,742,762,651,468,263,102,4962
45,110149,1892,1755,1613,1714,3733,3149,2861,2080,1295,758,238,21088
46,110150,915,862,789,947,2053,1809,1710,1345,839,411,166,11846
47,110155,273,279,266,271,633,631,595,576,327,212,97,4160
48,110160,821,790,698,707,1591,1529,1601,1165,810,462,174,10348
49,110170,802,768,729,766,1681,1807,1618,1325,954,469,162,11081
50,110175,987,898,775,827,1844,1742,1708,1321,861,431,151,11545
51,110180,456,452,417,433,1038,952,990,869,530,257,96,6490
52,120001,1441,1426,1328,1388,2996,2306,2014,1411,808,444,159,15721
53,120005,856,822,804,757,1314,1065,890,563,339,164,75,7649
54,120010,2272,2353,2436,2564,4955,4221,3464,2368,1378,761,351,27123
55,120013,972,958,906,961,1930,1482,1358,916,661,323,105,10572
56,120017,1199,1154,1035,1167,2429,1550,1418,1142,690,367,129,12280
57,120020,8752,8877,9119,9399,16480,13703,10385,6068,3750,2169,1058,89760
58,120025,1588,1645,1731,1851,3507,2815,2336,1710,999,543,254,18979
59,120030,4137,4153,4028,3925,6319,4521,3344,2293,1247,721,298,34986
60,120032,1435,1240,1094,1044,1615,1053,661,274,132,51,29,8628
61,120033,2205,2169,2030,1917,3514,2885,2108,1275,836,485,219,19643
62,120034,1125,1075,1001,986,1766,1421,1079,613,360,179,96,9701
63,120035,2895,2705,2498,2428,3729,2378,1535,828,424,216,91,19727
64,120038,1833,1901,1847,1846,3405,2747,2429,2007,1234,624,274,20147
65,120039,1997,1857,1569,1398,2196,1493,1022,537,252,121,55,12497
66,120040,31183,33226,37940,42074,78364,68687,54954,36174,21933,10385,4532,419452
67,120042,2560,2367,2136,2246,3695,2620,2066,1110,552,304,111,19767
68,120043,1119,898,777,830,1324,909,511,349,120,45,11,6893
69,120045,2056,2093,2100,2219,4070,3427,2976,2048,1414,718,325,23446
70,120050,4508,4455,4574,4913,8902,7622,5491,3220,1915,1070,498,47168
71,120060,5573,5425,5230,4892,7827,5576,3907,2563,1456,864,417,43730
72,120070,1778,1797,1781,1903,3728,2968,2365,1676,1028,578,264,19866
73,120080,1730,1747,1654,1792,3506,2596,2281,1723,1101,709,302,19141
74,130002,2416,2197,1876,1676,2905,2074,1488,929,478,253,104,16396
75,130006,1486,1441,1302,1080,2332,1768,1229,708,356,165,67,11934
76,130008,1600,1521,1332,1321,2821,2231,1655,951,484,250,126,14292
77,130010,2525,2507,2240,1984,4284,3454,2393,1321,690,357,182,21937
78,130014,1874,1817,1679,1847,4744,4158,2913,1949,1155,476,127,22739
79,130020,2623,2465,2324,2110,4214,3237,1852,1076,561,283,123,20868
80,130030,4877,4757,4081,3545,7171,5481,4361,3317,1912,1026,477,41005
81,130040,2432,2583,2515,2637,6090,4295,2834,2243,1397,568,178,27772
82,130050,4584,4352,3549,3045,5940,4072,2988,2073,1275,667,374,32919
83,130060,5851,5837,5558,4500,7827,6045,3938,2706,1467,760,384,44873
84,130063,2913,2697,2266,2001,3452,2607,1867,1364,777,381,178,20503
85,130068,2422,2397,2067,1948,3933,2692,1985,1309,765,350,172,20040
86,130070,3627,3662,3339,3045,6206,5255,4160,2718,1634,903,409,34958
87,130080,5203,4906,4220,3797,7899,6219,4407,2663,1616,898,500,42328
88,130083,1574,1534,1363,1234,2524,1974,1490,870,541,274,104,13482
89,130090,1479,1432,1261,1254,2897,2551,2222,1424,869,436,156,15981
90,130100,3436,3371,2953,2669,5399,4061,2858,1945,1155,605,267,28719
91,130110,3888,4084,3556,3280,7211,5768,4869,3074,1833,892,365,38820
92,130115,2886,3007,2781,2462,5381,4821,4228,3117,1620,818,338,31459
93,130120,9182,9221,9023,8651,17117,13630,9078,5163,3270,1638,740,86713
94,130130,3174,3068,2753,2806,5841,5064,3223,1956,1073,508,225,29691
95,130140,4550,4393,3921,3368,6419,5195,3529,2297,1441,706,302,36121
96,130150,2589,2555,2284,2000,3918,2974,2019,1198,655,357,199,20748
97,130160,2095,1989,1827,1595,2895,2200,1544,1012,680,390,182,16409
98,130165,2127,2016,1761,1669,3213,2595,1671,1209,550,270,112,17193
99,130170,5465,5465,5081,5121,11136,9268,6881,4474,2580,1228,496,57195
100,130180,4807,3976,3239,3000,5189,4699,2780,1841,970,483,188,31172
101,130185,5256,5304,4920,4504,8408,6802,6060,4155,2530,1239,540,49718
102,130190,10867,10953,9927,8942,18376,15197,12406,8298,5184,2666,1230,104046
103,130195,1032,932,771,729,1504,1163,764,465,250,132,35,7777
104,130200,970,969,873,806,1670,1355,1102,737,467,254,109,9312
105,130210,216,231,224,176,321,241,177,94,39,23,13,1755
106,130220,2013,1903,1721,1625,2985,2187,1473,814,462,216,96,15495
107,130230,2095,1818,1489,1249,2289,1691,1135,795,492,288,121,13462
108,130240,5409,5236,4734,4402,8683,7332,5090,3340,2050,976,433,47685
109,130250,10447,10671,9766,9021,18360,14907,11171,7295,4473,2349,1153,99613
110,130255,3914,3859,3440,3187,6254,5069,3560,2560,1288,611,239,33981
111,130260,173176,182624,195468,199775,413206,378413,313557,204616,120925,52956,21187,2255903
112,130270,6214,6234,5496,5041,11109,8878,6265,4087,2361,1196,524,57405
113,130280,2317,2343,2112,2003,3713,2553,1517,940,470,240,90,18298
114,130290,8543,8215,7127,6051,11694,9044,6391,4246,2880,1253,715,66159
115,130300,2337,2272,1895,1755,3878,3253,2613,1790,1049,570,298,21710
116,130310,4224,4095,3693,3580,7419,6084,4192,2741,1592,659,386,38665
117,130320,2216,2208,2006,1742,3564,3045,2376,1636,968,432,202,20395
118,130330,2674,2532,2187,2294,5102,4372,3157,2067,1195,586,277,26443
119,130340,12340,12618,11442,10335,21286,16931,12675,8670,5726,2935,1481,116439
120,130350,2482,2407,2220,2067,3670,2881,1776,1071,614,314,114,19616
121,130353,3798,3846,3592,3515,7508,5228,4317,3246,2047,782,216,38095
122,130356,3137,3140,3047,3305,6622,5310,4419,2993,1758,840,285,34856
123,130360,4095,3872,3559,2733,4372,3205,2050,1338,706,432,204,26566
124,130370,2838,2668,2206,1900,4086,3080,1803,1097,684,357,170,20889
125,130380,5479,5414,5136,4687,8572,5996,4646,3376,1996,1211,518,47031
126,130390,5144,4833,4202,3835,7608,5728,3800,2890,1481,908,408,40837
127,130395,1747,1668,1458,1424,2742,2151,1639,1048,511,219,71,14678
128,130400,1141,1084,919,758,1601,1187,1042,734,493,231,99,9289
129,130406,8238,7886,7536,6954,12310,9728,6957,4594,2563,1220,516,68502
130,130410,1854,1754,1530,1470,3075,2570,1746,1279,951,453,194,16876
131,130420,6927,6845,6308,5758,10542,8611,6187,3838,2356,1297,581,59250
132,130423,2570,2439,2172,1852,3757,2783,1537,981,529,288,130,19038
133,130426,1914,1742,1483,1377,2576,1853,1332,759,460,250,93,13839
134,130430,1839,1811,1532,1356,2736,2018,1782,1370,854,488,221,16007
135,130440,2853,2721,2342,2074,4495,3723,2486,1617,1027,493,267,24098
136,140002,2177,1700,1396,1247,2363,1812,1322,827,482,176,59,13561
137,140005,1955,1948,1674,1232,2474,1934,1473,1223,821,382,133,15249
138,140010,35784,33830,35249,35769,85837,84256,58988,35574,20084,8357,2863,436591
139,140015,1661,1424,1204,1093,2353,1611,1305,928,719,299,104,12701
140,140017,2173,1952,1590,1383,3325,2802,2385,1853,1126,523,145,19257
141,140020,2290,2103,1849,1773,4417,3807,2903,1881,1053,429,130,22635
142,140023,1063,970,835,745,1906,1944,1428,910,485,238,71,10595
143,140028,1308,1169,1025,923,2312,2245,1761,1047,553,227,67,12637
144,140030,1765,1654,1468,1356,3427,3225,2432,1613,943,456,143,18482
145,140040,1814,1582,1330,1143,2332,1417,897,596,368,210,83,11772
146,140045,2802,2388,1952,1690,3892,2774,2165,1307,745,299,94,20108
147,140047,2727,2627,2396,2418,6472,6371,3793,2395,1385,639,164,31387
148,140050,827,764,718,671,1614,1618,1103,633,330,170,44,8492
149,140060,594,564,524,516,1679,1861,1130,671,431,199,63,8232
150,140070,1970,1644,1378,1081,1925,1353,738,465,277,122,61,11014
151,150010,12382,12706,13570,14070,30255,27936,20580,13699,8664,4549,2028,160439
152,150013,595,620,662,674,1336,1147,953,751,444,251,103,7536
153,150020,5430,5443,5541,5379,10347,8210,6311,4615,2532,1364,572,55744
154,150030,4711,4456,4255,4205,7704,5536,3915,2491,1544,746,347,39910
155,150034,1896,1923,2128,2688,5752,5514,4125,2256,979,414,122,27797
156,150040,5973,5819,5435,4957,9967,8215,6820,4511,3130,1717,846,57390
157,150050,3276,3301,3351,3179,6324,4851,3897,2829,1870,833,333,34044
158,150060,9045,9535,10629,11024,21413,18825,15026,10566,6807,3151,1299,117320
159,150070,3959,3592,3418,3301,5568,4045,2747,1663,1058,516,224,30091
160,150080,33357,35525,41993,46800,95138,92204,80190,56665,36369,16361,5808,540410
161,150085,2953,2922,2922,2738,5397,4723,3590,2130,1210,553,174,29312
162,150090,5119,4900,4704,4469,8660,6852,5008,3435,2179,1133,478,46937
163,150095,2988,2813,2690,2911,6307,5432,4006,2537,1460,763,293,32200
164,150100,1761,1744,1571,1482,3058,2159,1689,1299,931,498,229,16421
165,150110,4200,3765,3414,3355,6463,4535,3003,1680,969,425,158,31967
166,150120,4564,4417,4404,4796,9667,8340,6116,3567,2161,1008,414,49454
167,150125,258,253,260,264,491,455,440,351,268,149,50,3239
168,150130,10935,11095,11811,12027,25363,22288,15924,10394,5969,2534,993,129333
169,150140,82062,90331,111076,121161,238149,250445,231280,174536,118900,61162,27318,1506420
170,150145,1685,1606,1508,1556,3082,2434,2282,1683,1140,647,321,17944
171,150150,4770,4879,5392,6079,12072,10699,9195,6060,3475,1512,647,64780
172,150157,1369,1363,1443,1510,2996,2779,2345,1738,982,526,203,17254
173,150160,1592,1532,1580,1567,2987,2908,2150,1235,738,329,151,16769
174,150170,11405,11449,12025,11811,22944,21708,16140,10770,6757,3493,1620,130122
175,150172,1144,1190,1234,1161,2447,2224,2005,1651,1041,551,235,14883
176,150175,616,624,653,618,1252,1091,932,693,503,260,115,7357
177,150178,7008,6665,6632,6713,13243,10633,7581,4792,3146,1598,586,68597
178,150180,11935,11405,10986,10616,19206,14456,10664,6947,4673,2316,1076,104280
179,150190,2921,2884,2825,2897,5545,4463,3483,2294,1326,742,337,29717
180,150195,4265,3788,3531,3972,6866,5408,3652,2240,1014,433,138,35307
181,150200,2178,2084,2063,2074,4417,4070,2981,2183,1287,655,363,24355
182,150210,13856,13630,13522,13032,26340,22631,15839,9988,6591,3637,1748,140814
183,150215,3748,3705,3831,3885,7874,6982,4847,2436,1136,497,162,39103
184,150220,4722,5108,5631,5754,11877,11755,9719,7041,4678,2351,1192,69828
185,150230,4550,4559,4530,4779,10069,8896,6933,4986,2942,1562,739,54545
186,150240,14544,15498,17928,18783,37483,35463,27857,18653,11551,5523,2384,205667
187,150250,2839,2671,2531,2437,4257,3362,2582,1708,1023,534,231,24175
188,150260,1054,1087,1094,956,1921,1838,1434,1222,802,511,256,12175
189,150270,3473,3640,3826,3875,8093,7114,6575,5148,3479,2016,876,48115
190,150275,3328,3355,3503,3362,6550,5445,3669,2453,1408,806,357,34236
191,150276,1221,1129,1178,1316,2618,2264,2076,1350,643,211,38,14044
192,150277,1428,1469,1541,1462,3109,2544,2050,1667,1406,751,337,17764
193,150280,4620,4252,4046,3768,6510,4984,3373,1936,1130,621,290,35530
194,150285,1741,1575,1422,1451,2706,2250,1576,1015,625,286,129,14776
195,150290,3443,3409,3378,3459,6877,6448,5265,3967,2607,1469,771,41093
196,150293,5173,5164,5601,6084,11665,10466,7574,4988,2789,1264,438,61206
197,150295,3175,3117,3143,3090,6053,5157,4100,3091,1841,997,305,34069
198,150300,741,702,697,669,1207,894,745,576,421,200,97,6949
199,150304,1769,1785,1790,1765,3869,3247,2839,1837,1069,562,210,20742
200,150307,2517,2398,2282,2443,5027,4014,2997,2107,1272,783,315,26155
201,150309,3710,3638,3750,3859,8113,6985,5408,3203,1908,817,287,41678
202,150310,3985,3754,3655,3642,6423,4837,3363,2171,1279,720,298,34127
203,150320,2899,3005,3160,3291,7018,6587,5008,3800,2494,1336,636,39234
204,150330,6002,5991,6172,5715,11148,10168,7568,4798,3259,1708,838,63367
205,150340,986,992,1031,1028,2116,2037,1492,1132,681,356,158,12009
206,150345,6365,6052,6102,7187,14402,11887,7870,4120,1971,943,271,67170
207,150350,2976,2976,2894,2790,5474,4927,3961,2934,1924,1228,555,32639
208,150360,7810,8059,8695,9377,19740,15891,12309,9456,6186,2929,1089,101541
209,150370,5216,5095,5050,4945,9674,8091,6428,4405,2644,1401,490,53439
210,150375,659,658,782,850,1263,985,736,601,262,124,32,6952
211,150380,4930,5102,5667,5838,11355,10795,7526,4723,2658,1342,581,60517
212,150390,7325,6541,5885,5682,11331,9752,6276,3438,2143,1079,509,59961
213,150400,3104,2956,2920,2991,5806,4461,3195,2046,1226,622,296,29623
214,150405,2564,2641,2801,2784,5256,4804,3822,2659,1689,932,437,30389
215,150410,741,762,751,715,1423,1331,1014,798,568,333,162,8598
216,150420,24470,24939,27744,28170,53969,49469,35651,22336,13046,5619,2251,287664
217,150430,2546,2492,2345,2415,5320,4314,3584,2872,1960,1146,565,29559
218,150440,2239,2238,2128,2186,5037,4337,3753,2891,1980,1166,608,28563
219,150442,9946,9930,11095,12898,26725,24139,19864,11502,6119,2623,971,135812
220,150445,2627,2639,2795,3016,5876,5495,4323,2844,1687,775,270,32347
221,150450,3720,3488,3325,3104,5707,3841,2460,1378,661,307,130,28121
222,150460,3081,3066,3046,3116,5844,4987,3530,2340,1510,919,478,31917
223,150470,8646,8492,8411,8205,15810,13236,9720,5918,3396,1717,700,84251
224,150475,1256,1247,1238,1235,2734,2540,2287,1778,1067,630,270,16282
225,150480,4856,4860,4671,4805,10443,8635,7553,5575,3852,2056,983,58289
226,150490,4172,4035,4066,4235,7810,6641,4739,2937,1635,817,367,41454
227,150495,2346,2169,2095,2151,4178,3178,2460,1537,783,481,141,21519
228,150497,1542,1493,1504,1512,2940,2681,2187,1465,998,528,177,17027
229,150500,1073,1125,1191,1241,2458,2576,2247,1663,1126,635,311,15646
230,150503,2210,2514,2911,2861,5075,3213,2687,2372,1344,479,103,25769
231,150506,7787,7510,7318,7237,14674,12691,9479,5954,3509,1758,571,78488
232,150510,5174,5146,5021,4584,8576,7595,6457,4504,3002,1655,759,52473
233,150520,4163,3867,3642,3407,5973,4649,3307,1979,1190,707,298,33182
234,150530,7585,7558,7490,7185,13520,10926,8420,5649,3796,1941,851,74921
235,150540,1501,1532,1539,1479,3189,2838,2325,1716,1059,607,294,18079
236,150543,2866,3044,3396,3533,7195,6245,3951,1995,965,468,173,33831
237,150548,4590,4589,4585,4318,8983,8105,6084,4008,2333,1120,395,49110
238,150549,667,661,665,647,1257,1129,982,695,489,269,114,7575
239,150550,10376,10268,11185,12035,22608,19064,13938,8500,4932,2194,738,115838
240,150553,19050,18591,21377,23618,46855,40430,25521,13426,6581,2495,843,218787
241,150555,409,430,448,433,921,822,705,562,353,182,74,5339
242,150560,581,594,612,644,1318,1305,1084,845,588,332,181,8084
243,150563,1137,1114,1099,1120,2329,1928,1741,1236,743,398,131,12976
244,150565,3191,3077,3062,3180,6191,5390,4003,2302,1242,531,156,32325
245,150570,2972,2957,3092,3092,5767,5122,3730,2638,1569,710,358,32007
246,150580,8943,8063,7382,6929,11738,8317,5763,3203,2006,1047,440,63831
247,150590,5462,5164,5150,4737,8134,5768,3745,2233,1179,619,265,42456
248,150600,3127,3003,2777,2857,5634,4142,3465,2385,1448,689,300,29827
249,150610,782,787,773,876,1895,1704,1408,1162,760,491,251,10889
250,150611,1119,1087,1063,1208,2469,2277,1823,1280,810,435,223,13794
251,150613,6234,6591,7411,7798,15901,13867,11473,8316,5219,2492,1024,86326
252,150616,1235,1304,1425,1505,3109,3046,2567,1956,1221,609,231,18208
253,150618,3775,4072,4596,4745,9403,8990,7351,5228,3067,1459,556,53242
254,150619,4796,4736,4646,4784,10149,9223,6331,4062,2356,1041,349,52473
255,150620,3151,3224,3363,3528,7523,6856,5552,3868,2412,1190,497,41164
256,150630,2037,2016,2071,2108,4523,3864,3227,2203,1305,709,329,24392
257,150635,1692,1751,1822,1894,3983,3454,3001,2203,1177,590,244,21811
258,150640,818,825,866,902,2034,1868,1442,923,485,232,101,10496
259,150650,4826,5117,5859,6684,13770,13169,10287,6693,3742,1884,825,72856
260,150655,1712,1684,1703,1771,3582,3158,2380,1666,1208,648,327,19839
261,150658,1805,1766,1737,1854,3771,3277,3053,2424,1578,753,226,22244
262,150660,1708,1794,1933,2148,4274,4129,3547,2617,1685,855,437,25127
263,150670,6245,6197,6685,7977,16287,13277,9454,5229,2983,1287,374,75995
264,150680,25158,26206,28683,28140,53677,49756,38762,26657,17986,9091,4223,308339
265,150690,620,616,577,532,1290,1077,821,574,359,228,102,6796
266,150700,2678,2750,2819,2698,5792,5170,4436,2868,1823,931,381,32346
267,150710,1454,1467,1468,1477,3160,2906,2395,1736,1223,619,302,18207
268,150715,2265,2287,2271,2214,4381,3896,3263,2278,1575,1032,483,25945
269,150720,3646,3536,3393,3070,5774,4549,3456,2228,1370,895,368,32285
270,150730,10699,9814,9781,12396,28866,28457,20119,9950,3938,1370,342,135732
271,150740,1138,1189,1267,1291,2623,2449,2236,1667,1181,632,305,15978
272,150745,2026,2045,2074,2071,4365,3929,3091,2290,1494,819,362,24566
273,150746,601,568,540,502,1055,1012,775,580,361,194,106,6294
274,150747,2018,1975,1933,1977,4229,3754,2850,2033,1405,847,419,23440
275,150750,1240,1285,1301,1190,2408,2021,1749,1323,892,501,195,14105
276,150760,5283,5321,5619,5768,10824,9570,7344,4951,3064,1743,781,60268
277,150770,2849,2764,2829,2696,4956,4289,2917,1885,1184,615,318,27302
278,150775,423,449,490,531,1130,1001,810,661,372,169,52,6088
279,150780,1164,1086,1018,1053,2062,1509,1431,1098,599,222,63,11305
280,150790,2051,2127,2211,2174,4664,4100,3227,2440,1585,790,383,25752
281,150795,10494,9905,10615,13035,24865,18705,12297,6419,3234,1499,486,111554
282,150796,969,994,976,964,2174,1881,1529,1177,692,421,194,11971
283,150797,1641,1648,1646,1683,3420,3015,2566,1592,1074,531,247,19063
284,150800,6249,6201,6380,6083,11665,9966,7636,4965,3066,1679,714,64604
285,150803,2983,2983,2925,2739,5714,4969,3747,2560,1609,892,428,31549
286,150805,1774,1616,1588,1731,3701,3386,2500,1567,947,419,115,19344
287,150808,3250,3351,3646,3660,7749,7049,5078,3467,2125,963,323,40661
288,150810,9802,10373,11788,11776,21987,19098,13716,8860,5841,2450,914,116605
289,150812,5826,5486,5816,6747,12878,9733,7353,4395,2536,1194,322,62286
290,150815,4011,4180,4527,4480,8610,7046,5571,3538,2047,1028,357,45395
291,150820,4169,4296,4574,4697,9674,9273,7367,4923,3166,1731,780,54650
292,150830,7089,6609,6117,5863,11456,9408,6389,4281,2839,1392,650,62093
293,150835,1203,1230,1296,1382,3030,2740,2029,1339,693,347,132,15421
294,150840,3451,3628,3957,4164,8447,7498,6080,4278,2381,1100,432,45416
295,160005,550,518,473,540,1034,836,741,485,275,95,30,5577
296,160010,897,886,794,854,1805,1478,1121,726,427,186,91,9265
297,160015,2091,1829,1641,1791,3310,2930,1932,1139,617,249,96,17625
298,160020,1295,1209,1043,1011,1996,1669,1398,1031,573,193,75,11493
299,160021,724,692,603,610,1163,873,675,473,243,108,53,6217
300,160023,902,886,764,691,1517,1129,999,644,385,164,70,8151
301,160025,630,610,524,535,1076,857,631,428,257,119,63,5730
302,160027,5144,5152,5125,5389,10227,7944,5895,3919,2205,913,389,52302
303,160030,43389,45418,47743,49040,99377,89121,67476,42189,23707,10096,4801,522357
304,160040,2668,2612,2307,2213,4164,3134,2273,1538,913,435,211,22468
305,160050,3215,2986,2846,2870,5534,4574,3277,1985,906,256,85,28534
306,160053,2431,2382,2204,2250,4321,3207,2736,1907,976,367,146,22927
307,160055,780,666,544,526,935,752,587,302,168,75,35,5370
308,160060,11043,11347,11385,11680,23910,21314,15154,9427,5548,2711,1289,124808
309,160070,2237,2040,1726,1692,3261,2413,1848,1474,936,421,169,18217
310,160080,1742,1745,1605,1538,3216,2504,1851,1212,666,332,161,16572
311,170025,243,225,201,217,401,366,368,261,211,88,28,2609
312,170030,743,686,664,691,1265,1200,865,421,283,155,76,7049
313,170035,340,346,340,369,869,730,770,638,459,292,150,5303
314,170040,623,624,579,532,1149,928,825,706,497,300,142,6905
315,170070,540,552,591,703,1375,1315,1201,963,623,354,164,8381
316,170100,813,822,784,724,1541,1374,1274,915,577,405,206,9435
317,170105,270,273,257,253,577,520,461,384,251,146,83,3475
318,170110,445,442,392,341,740,746,682,490,329,201,93,4901
319,170130,459,439,394,369,820,774,817,724,541,275,93,5705
320,170190,579,536,484,561,1258,1044,948,860,550,273,130,7223
321,170200,476,497,495,534,1229,1201,1355,1147,782,467,235,8418
322,170210,13629,13908,16079,17199,33685,33099,24760,16139,9978,5250,2519,186245
323,170215,541,520,480,449,1049,803,732,605,383,198,96,5856
324,170220,3434,3314,3126,3097,6417,5641,4605,3161,2060,1164,554,36573
325,170230,500,498,475,486,1191,926,911,709,493,279,122,6590
326,170240,830,816,730,700,1872,1633,1376,1076,786,444,239,10502
327,170255,1707,1651,1622,1580,3311,3239,2319,1474,1038,629,300,18870
328,170270,262,266,258,272,572,581,576,434,288,200,100,3809
329,170290,875,849,797,827,1687,1551,1246,899,557,343,186,9817
330,170300,712,720,727,766,1692,1652,1636,1318,837,407,201,10668
331,170305,294,274,263,345,652,504,526,374,210,137,52,3631
332,170307,476,422,360,378,882,674,592,400,267,152,70,4673
333,170310,373,384,389,431,899,894,833,665,433,248,120,5669
334,170320,337,327,321,330,765,620,629,559,301,184,66,4439
335,170330,507,471,444,456,1043,852,573,374,245,102,53,5120
336,170360,172,162,156,185,355,308,325,267,149,89,53,2221
337,170370,433,421,405,426,914,856,709,583,406,243,144,5540
338,170380,945,934,906,904,2107,2295,1427,942,645,372,167,11644
339,170382,219,217,192,160,394,325,297,213,153,80,43,2293
340,170384,1256,1099,934,989,2085,1598,1144,706,416,196,82,10505
341,170386,297,291,314,347,779,735,686,499,298,171,82,4499
342,170388,217,222,215,205,454,362,328,295,197,97,35,2627
343,170389,443,405,385,390,709,599,438,368,230,135,63,4165
344,170390,468,443,384,421,878,787,793,652,419,198,71,5514
345,170410,235,226,206,247,531,431,365,326,212,126,61,2966
346,170460,98,102,99,80,193,190,216,185,141,82,29,1415
347,170510,271,267,235,231,573,450,383,434,243,174,69,3330
348,170550,2686,2751,2942,3064,6260,5946,5009,3625,2230,1180,578,36271
349,170555,369,371,356,350,765,825,713,552,325,169,75,4870
350,170560,362,357,315,281,700,542,467,449,288,205,104,4070
351,170600,505,493,466,431,890,837,796,618,403,183,68,5690
352,170610,445,459,447,504,1062,1021,1092,999,665,355,219,7268
353,170625,121,110,96,139,271,213,308,220,153,87,31,1749
354,170650,579,551,507,459,1065,961,817,554,415,228,114,6250
355,170700,1929,1893,1842,1884,4330,3690,2900,2008,1224,673,331,22704
356,170710,509,499,471,486,1105,1009,980,839,614,324,150,6986
357,170720,481,469,419,446,1022,1022,1166,974,668,347,159,7173
358,170730,349,328,325,334,713,635,657,565,414,243,123,4686
359,170740,1212,1058,925,975,2095,1831,1338,844,602,280,120,11280
360,170755,268,262,244,288,595,565,549,423,328,200,102,3824
361,170765,299,315,307,316,762,724,810,775,491,279,144,5222
362,170770,773,737,691,689,1534,1307,1166,840,591,368,196,8892
363,170820,1292,1315,1307,1385,2951,2647,2590,2211,1467,807,386,18358
364,170825,213,214,207,180,492,385,374,269,159,77,45,2615
365,170830,379,380,344,363,835,763,771,626,367,216,92,5136
366,170900,1390,1273,1133,1120,2212,1831,1445,1214,806,490,255,13169
367,170930,1774,1792,1911,2104,4586,4326,3963,2815,1766,930,436,26403
368,170950,5661,5823,6700,7480,15386,15324,12575,9238,5899,2999,1343,88428
369,170980,191,173,140,153,348,331,249,212,135,111,45,2088
370,171050,689,676,635,612,1221,1047,970,702,476,279,164,7471
371,171070,529,502,449,425,910,861,753,586,437,232,117,5801
372,171090,299,277,249,278,664,533,545,372,321,176,100,3814
373,171110,180,178,178,176,412,346,351,288,163,98,42,2412
374,171150,306,292,259,253,515,508,591,527,380,190,85,3906
375,171180,164,171,168,164,353,321,302,245,153,94,39,2174
