"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"110030 VILHENA";"0";"6,72";"82,02";"93,71";"129,86";"113,64";"96,60";"110,02";"119,50";"100,45";"93,10";"102,87";"97,70";"93,97";"106,33";"168,16";"102,81";"111,99";"98,45";"98,32";"108,60";"107,65";"108,11";"117,77";"81,24";"103,03"
"110032 SAO MIGUEL DO GUAPORE";"0";"50,69";"96,65";"76,32";"95,89";"195,63";"78,14";"114,82";"112,33";"72,22";"93,42";"87,37";"107,11";"113,16";"104,40";"118,21";"127,61";"96,69";"130,03";"108,61";"110,22";"97,31";"64,31";"85,67";"55,94";"98,09"
"110033 NOVA MAMORE";"0";"15,35";"93,63";"65,39";"125,30";"145,08";"107,53";"126,72";"107,84";"147,39";"113,32";"94,52";"103,39";"93,99";"84,45";"117,23";"109,11";"98,35";"78,82";"101,22";"97,74";"60,16";"43,98";"89,36";"51,79";"93,62"
"110034 ALVORADA D\'OESTE";"0";"0";"137,44";"122,88";"150,39";"155,88";"140,37";"115,75";"82,19";"109,76";"107,42";"132,75";"137,12";"64,63";"107,50";"128,57";"134,09";"164,13";"86,96";"115,06";"110,67";"110,67";"70,73";"69,52";"60,24";"108,76"
"110037 ALTO ALEGRE DOS PARECIS";"0";"31,43";"107,80";"102,97";"106,75";"214,93";"149,73";"172,45";"112,99";"170,00";"126,73";"123,76";"97,52";"92,08";"87,94";"179,37";"110,43";"134,30";"88,95";"85,12";"103,49";"81,98";"95,45";"126,03";"96,67";"114,20"
"110040 ALTO PARAISO";"0";"63,30";"112,73";"96,98";"153,67";"108,04";"142,22";"117,44";"191,93";"92,47";"117,59";"89,31";"56,55";"72,41";"133,21";"168,04";"103,32";"118,11";"129,13";"95,91";"88,43";"76,86";"91,59";"99,54";"83,87";"107,28"
"110045 BURITIS";"0";"0";"165,58";"138,71";"180,38";"105,10";"93,96";"316,71";"122,13";"145,22";"96,68";"94,81";"119,05";"102,45";"106,35";"156,94";"113,09";"123,39";"97,26";"89,26";"105,06";"77,53";"90,05";"117,72";"72,77";"118,24"
"110050 NOVO HORIZONTE DO OESTE";"0";"4,46";"85,21";"77,99";"73,18";"49,27";"140,71";"104,52";"90,71";"101,53";"126,96";"112,17";"119,13";"106,09";"126,67";"139,20";"90,98";"127,96";"107,53";"202,11";"125,27";"97,80";"92,86";"100,00";"74,29";"95,24"
"110060 CACAULANDIA";"0";"0";"52,42";"85,60";"98,40";"68,42";"95,05";"124,71";"93,83";"100,00";"95,18";"115,66";"85,54";"85,54";"141,18";"173,77";"117,46";"112,07";"118,97";"92,54";"115,49";"108,45";"82,67";"78,57";"92,00";"92,05"
"110070 CAMPO NOVO DE RONDONIA";"0";"2,55";"18,48";"41,48";"64,72";"89,73";"125,00";"136,81";"123,85";"64,91";"58,46";"69,74";"73,33";"66,15";"54,44";"136,59";"59,02";"52,49";"180,66";"112,35";"141,95";"59,20";"58,43";"50,87";"65,45";"73,10"
