"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"220755 PAQUETA";"0";"116,13";"140,40";"122,22";"102,02";"265,57";"154,55";"121,57";"121,67";"136,54";"120,45";"122,73";"104,55";"104,55";"164,44";"114,71";"61,54";"52,38";"50,00";"87,10";"102,38";"80,95";"60,38";"60,98";"91,67";"121,42"
"220760 PARNAGUA";"0";"49,82";"41,38";"82,89";"19,25";"58,61";"87,40";"81,52";"85,29";"73,21";"97,94";"91,75";"91,75";"80,41";"76,41";"67,92";"99,31";"54,22";"76,51";"98,80";"39,05";"74,56";"110,98";"92,11";"115,62";"79,29"
"220770 PARNAIBA";"0";"63,52";"95,43";"98,39";"114,67";"110,98";"100,08";"98,69";"104,04";"100,50";"97,31";"97,80";"92,82";"90,00";"94,15";"101,96";"79,91";"79,26";"84,36";"88,92";"69,75";"41,27";"43,23";"61,86";"52,51";"90,28"
"220775 PASSAGEM FRANCA DO PIAUI";"0";"43,33";"78,79";"84,85";"80,81";"138,33";"92,05";"103,03";"76,83";"106,67";"116,88";"93,51";"87,01";"101,30";"117,81";"112,68";"131,75";"58,54";"73,17";"89,09";"91,38";"53,45";"82,98";"108,33";"23,81";"94,08"
"220777 PATOS DO PIAUI";"0";"69,60";"91,23";"68,70";"101,74";"131,46";"70,97";"127,18";"103,48";"120,45";"132,39";"111,27";"100,00";"88,73";"139,71";"101,39";"71,67";"114,29";"106,12";"82,14";"98,25";"59,65";"87,27";"55,00";"61,54";"103,30"
"220779 PAU D\'ARCO DO PIAUI";"0";"0";"0";"0";"0";"85,71";"130,43";"114,89";"100,00";"94,44";"77,05";"81,97";"31,15";"44,26";"265,62";"104,76";"97,62";"102,63";"123,68";"93,48";"158,06";"148,39";"153,49";"100,00";"84,21";"82,87"
"220780 PAULISTANA";"0";"92,33";"67,58";"102,40";"161,31";"125,89";"67,48";"145,70";"98,30";"111,32";"90,34";"105,40";"86,36";"90,91";"73,65";"84,59";"76,95";"91,74";"86,24";"80,06";"89,28";"57,39";"75,71";"87,87";"67,32";"98,38"
"220785 PAVUSSU";"0";"12,05";"72,41";"51,72";"115,12";"105,26";"144,44";"103,12";"110,17";"82,00";"134,88";"104,65";"93,02";"120,93";"86,67";"117,07";"88,64";"73,81";"107,14";"97,62";"118,75";"112,50";"56,82";"105,56";"57,89";"95,62"
"220790 PEDRO II";"0";"64,32";"85,27";"95,98";"100,52";"96,05";"76,15";"126,74";"139,68";"107,67";"95,78";"107,63";"99,19";"92,86";"98,75";"155,01";"100,98";"72,79";"58,56";"110,29";"106,22";"78,69";"79,61";"87,13";"56,70";"110,71"
"220793 PEDRO LAURENTINO";"0";"16,67";"38,18";"37,50";"112,28";"123,68";"44,44";"78,85";"64,41";"114,00";"84,21";"92,98";"63,16";"59,65";"94,44";"81,08";"112,00";"118,52";"88,89";"92,00";"164,00";"188,00";"90,62";"112,90";"42,86";"87,39"
"220795 NOVA SANTA RITA";"0";"31,58";"107,61";"39,78";"76,60";"98,02";"97,94";"108,93";"218,18";"177,03";"196,10";"174,03";"168,83";"90,91";"108,45";"69,35";"96,00";"143,10";"94,83";"91,94";"86,27";"125,49";"93,33";"95,45";"56,52";"114,33"
"220800 PICOS";"0";"127,82";"123,11";"117,87";"145,46";"152,09";"124,05";"128,04";"124,56";"120,55";"108,61";"101,79";"101,62";"115,52";"117,80";"149,04";"102,70";"116,59";"111,72";"73,10";"91,91";"69,49";"83,46";"88,89";"60,22";"117,93"
"220810 PIMENTEIRAS";"0";"57,89";"105,20";"70,36";"100,39";"118,24";"90,15";"119,78";"124,56";"122,38";"95,45";"108,44";"85,06";"105,19";"102,90";"52,73";"79,83";"69,83";"93,97";"57,58";"47,52";"61,70";"74,60";"94,96";"80,43";"95,28"
"220820 PIO IX";"0";"45,11";"87,36";"97,20";"106,98";"102,97";"97,94";"118,77";"118,71";"96,13";"120,16";"103,23";"109,68";"136,69";"109,22";"38,43";"76,44";"103,88";"64,08";"67,93";"78,90";"91,28";"90,28";"96,48";"57,45";"98,89"
"220830 PIRACURUCA";"0";"86,26";"84,95";"67,24";"117,14";"131,28";"126,65";"97,47";"100,00";"112,23";"106,92";"92,31";"106,15";"99,74";"102,68";"102,02";"122,19";"71,19";"87,29";"102,51";"75,99";"35,24";"83,66";"90,66";"67,79";"97,88"
"220840 PIRIPIRI";"0";"66,95";"90,87";"70,39";"104,07";"117,49";"91,05";"105,58";"111,70";"107,23";"105,11";"102,83";"99,89";"117,74";"97,37";"119,13";"108,62";"115,38";"133,79";"101,15";"116,86";"112,52";"86,56";"87,78";"66,67";"105,96"
"220850 PORTO";"0";"110,69";"128,21";"100,35";"117,83";"129,14";"87,46";"74,65";"154,55";"143,55";"138,21";"86,18";"84,55";"97,56";"116,34";"120,60";"56,39";"102,86";"84,76";"111,68";"86,67";"67,78";"72,53";"82,21";"54,55";"112,29"
"220855 PORTO ALEGRE DO PIAUI";"0";"150,00";"102,00";"125,49";"88,24";"102,27";"100,00";"101,72";"125,58";"123,68";"76,60";"80,85";"93,62";"80,85";"142,11";"74,55";"40,00";"105,71";"97,14";"100,00";"75,00";"121,43";"65,12";"100,00";"44,44";"100,50"
"220860 PRATA DO PIAUI";"0";"58,82";"88,89";"95,31";"92,19";"94,00";"158,14";"140,00";"114,81";"116,36";"117,65";"100,00";"92,16";"78,43";"109,76";"108,82";"14,63";"89,47";"105,26";"100,00";"102,13";"14,89";"203,85";"72,00";"114,29";"99,56"
"220865 QUEIMADA NOVA";"0";"47,30";"102,27";"106,15";"115,47";"125,00";"86,79";"129,77";"135,19";"104,24";"110,09";"113,76";"85,32";"120,18";"77,48";"96,51";"114,29";"113,98";"110,75";"103,12";"88,79";"91,59";"118,00";"87,25";"73,33";"105,62"
"220870 REDENCAO DO GURGUEIA";"0";"87,33";"95,96";"104,48";"88,18";"93,20";"85,46";"93,50";"88,50";"109,47";"100,61";"107,98";"109,20";"101,23";"78,06";"103,82";"81,93";"58,55";"76,97";"112,30";"110,64";"80,14";"59,49";"120,16";"58,67";"95,37"
"220880 REGENERACAO";"0";"70,47";"96,29";"86,32";"141,93";"151,62";"74,60";"93,40";"112,62";"102,33";"80,81";"106,40";"174,13";"113,66";"102,82";"82,35";"93,09";"100,00";"101,07";"100,38";"113,21";"77,74";"89,87";"85,77";"71,43";"105,52"
"220885 RIACHO FRIO";"0";"209,40";"149,30";"160,56";"116,90";"108,65";"132,43";"113,89";"94,74";"95,24";"92,45";"121,70";"90,57";"65,09";"106,49";"136,23";"52,11";"62,20";"47,56";"34,85";"68,18";"12,12";"38,33";"71,43";"116,00";"104,24"
"220887 RIBEIRA DO PIAUI";"0";"0";"119,48";"27,27";"50,65";"76,62";"96,15";"83,54";"87,80";"121,05";"72,97";"89,19";"66,22";"94,59";"89,23";"104,35";"29,79";"15,79";"139,47";"110,00";"81,82";"58,18";"57,89";"108,51";"95,24";"76,76"
"220890 RIBEIRO GONCALVES";"0";"69,33";"112,10";"111,29";"117,74";"140,00";"100,00";"104,76";"119,12";"114,55";"110,91";"98,18";"175,45";"83,64";"61,11";"66,10";"116,33";"60,71";"100,00";"89,17";"116,67";"49,12";"71,59";"102,30";"68,29";"102,29"
"220900 RIO GRANDE DO PIAUI";"0";"73,88";"124,11";"138,94";"139,13";"132,26";"67,26";"96,26";"96,43";"102,73";"93,81";"106,19";"69,91";"75,22";"96,51";"110,81";"113,33";"93,98";"89,16";"97,14";"82,86";"78,57";"61,11";"82,81";"66,67";"103,45"
"220910 SANTA CRUZ DO PIAUI";"0";"210,78";"113,27";"121,65";"119,59";"98,31";"115,53";"110,10";"113,40";"111,76";"77,23";"75,25";"69,31";"71,29";"123,53";"85,39";"84,21";"112,16";"104,05";"79,75";"114,52";"120,97";"76,74";"100,00";"53,57";"108,85"
"220915 SANTA CRUZ DOS MILAGRES";"0";"24,71";"67,19";"65,62";"84,38";"107,89";"87,18";"165,22";"89,29";"92,31";"89,66";"112,07";"86,21";"91,38";"87,23";"25,71";"3,92";"168,42";"210,53";"26,32";"45,95";"102,70";"120,00";"122,58";"50,00";"84,87"
"220920 SANTA FILOMENA";"0";"77,18";"71,97";"70,25";"89,31";"214,40";"91,33";"106,90";"91,61";"130,28";"118,52";"127,78";"100,93";"86,11";"97,30";"136,36";"94,50";"114,29";"75,51";"71,28";"96,97";"64,65";"86,54";"103,06";"71,79";"103,40"
"220930 SANTA LUZ";"0";"38,46";"96,19";"142,86";"104,72";"88,79";"58,50";"99,10";"91,67";"109,80";"71,43";"85,71";"78,15";"74,79";"68,97";"136,11";"85,71";"57,83";"67,47";"84,85";"196,00";"170,67";"79,75";"94,20";"76,92";"94,54"
"220935 SANTANA DO PIAUI";"0";"45,95";"44,83";"87,50";"98,88";"208,70";"84,21";"141,18";"198,46";"155,88";"109,52";"109,52";"73,02";"112,70";"98,04";"91,23";"88,33";"117,54";"52,63";"86,11";"102,17";"86,96";"59,52";"100,00";"78,95";"102,49"
"220937 SANTA ROSA DO PIAUI";"0";"51,33";"100,00";"47,97";"73,39";"147,06";"98,06";"130,59";"114,81";"96,47";"64,10";"106,41";"80,77";"83,33";"72,46";"84,75";"85,71";"64,91";"52,63";"114,00";"78,87";"54,93";"89,47";"68,75";"50,00";"90,41"
"220940 SANTO ANTONIO DE LISBOA";"0";"75,25";"216,28";"163,95";"110,47";"127,91";"79,57";"95,74";"97,75";"115,19";"100,00";"110,39";"83,12";"68,83";"117,11";"66,30";"125,93";"137,50";"119,44";"85,23";"96,15";"108,97";"75,29";"94,12";"48,39";"105,68"
"220945 SANTO ANTONIO DOS MILAGRES";"0";"68,75";"97,67";"67,44";"109,09";"166,67";"89,19";"180,00";"90,00";"120,00";"85,37";"102,44";"104,88";"90,24";"236,67";"41,18";"125,00";"0";"86,11";"65,62";"81,48";"85,19";"111,54";"75,86";"77,78";"103,33"
"220950 SANTO INACIO DO PIAUI";"0";"56,25";"110,34";"106,78";"106,78";"86,76";"104,48";"151,16";"119,61";"102,56";"86,67";"86,67";"100,00";"100,00";"66,67";"133,33";"175,00";"102,00";"88,00";"109,76";"86,36";"61,36";"53,70";"75,00";"84,62";"100,88"
"220955 SAO BRAZ DO PIAUI";"0";"24,35";"43,75";"97,50";"74,07";"59,32";"71,01";"107,14";"100,00";"84,62";"76,32";"75,00";"89,47";"71,05";"103,28";"45,28";"93,62";"78,33";"48,33";"71,83";"87,04";"92,59";"65,38";"139,02";"72,00";"76,50"
"220960 SAO FELIX DO PIAUI";"0";"116,67";"131,91";"100,00";"130,43";"110,81";"137,50";"200,00";"127,59";"103,12";"133,33";"125,93";"118,52";"118,52";"200,00";"115,62";"103,57";"172,22";"188,89";"127,27";"89,66";"137,93";"121,74";"145,45";"25,00";"130,95"
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";"0";"55,56";"100,00";"103,75";"169,14";"99,07";"90,53";"97,17";"127,96";"111,36";"68,81";"89,91";"89,91";"45,87";"114,71";"84,21";"60,38";"26,14";"76,14";"96,25";"132,31";"133,85";"115,38";"78,08";"119,35";"95,54"
"220970 SAO FRANCISCO DO PIAUI";"0";"150,40";"47,68";"105,33";"59,33";"110,00";"93,46";"102,20";"89,69";"91,43";"80,82";"110,96";"80,82";"68,49";"91,46";"82,19";"70,00";"65,33";"32,00";"61,54";"58,33";"59,38";"76,19";"72,13";"57,14";"87,92"
"220975 SAO GONCALO DO GURGUEIA";"0";"36,49";"76,47";"140,38";"125,00";"166,67";"94,74";"142,86";"134,04";"123,81";"117,78";"106,67";"82,22";"113,33";"87,50";"114,29";"96,97";"126,67";"100,00";"129,63";"80,00";"27,50";"108,82";"102,50";"41,67";"108,60"
"220980 SAO GONCALO DO PIAUI";"0";"64,29";"76,92";"80,95";"112,15";"118,18";"100,00";"165,67";"122,58";"115,25";"79,52";"109,64";"96,39";"110,84";"89,16";"56,98";"65,75";"81,58";"42,11";"100,00";"112,86";"111,43";"104,11";"82,54";"100,00";"98,17"
"220985 SAO JOAO DA CANABRAVA";"0";"36,27";"87,50";"68,18";"114,77";"90,32";"73,96";"103,90";"98,65";"106,67";"119,23";"100,00";"92,31";"130,77";"73,02";"69,23";"15,22";"36,84";"43,86";"87,23";"93,62";"82,98";"70,59";"81,25";"68,42";"82,03"
"220987 SAO JOAO DA FRONTEIRA";"0";"0";"86,62";"88,11";"101,39";"111,65";"127,17";"95,33";"128,57";"95,96";"115,07";"108,22";"124,66";"108,22";"131,17";"65,52";"7,58";"0";"112,86";"98,61";"92,96";"69,01";"67,11";"83,33";"40,00";"91,86"
"220990 SAO JOAO DA SERRA";"0";"72,86";"17,69";"0";"111,81";"100,00";"112,17";"127,91";"86,11";"142,68";"92,31";"86,81";"59,34";"82,42";"100,00";"37,36";"9,84";"26,47";"113,24";"109,72";"88,46";"112,82";"82,93";"110,94";"42,31";"86,09"
"220995 SAO JOAO DA VARJOTA";"0";"74,55";"88,04";"92,47";"84,95";"122,67";"80,00";"142,03";"71,26";"108,22";"72,15";"97,47";"113,92";"100,00";"93,67";"108,45";"83,58";"98,57";"78,57";"126,32";"64,56";"64,56";"82,69";"132,65";"62,96";"97,67"
"220997 SAO JOAO DO ARRAIAL";"0";"148,19";"79,10";"104,38";"156,03";"86,42";"84,15";"118,13";"104,88";"119,73";"108,39";"104,20";"101,40";"90,21";"86,01";"100,00";"109,45";"113,19";"86,11";"132,74";"110,00";"76,00";"116,80";"109,46";"35,94";"106,15"
"221000 SAO JOAO DO PIAUI";"0";"53,70";"74,35";"109,00";"124,43";"58,41";"89,69";"96,03";"106,56";"68,46";"173,98";"117,34";"84,82";"84,01";"78,76";"118,61";"83,81";"104,71";"96,63";"89,94";"88,00";"98,40";"78,93";"73,56";"73,33";"97,33"
"221005 SAO JOSE DO DIVINO";"0";"53,27";"65,49";"58,26";"123,08";"76,70";"114,13";"74,23";"100,00";"102,63";"89,33";"98,67";"89,33";"102,67";"127,27";"84,88";"111,67";"129,85";"97,01";"108,33";"118,18";"100,00";"96,72";"134,55";"60,00";"97,50"
"221010 SAO JOSE DO PEIXE";"0";"126,32";"71,76";"72,94";"91,76";"174,63";"69,89";"109,59";"79,22";"154,90";"96,36";"94,55";"72,73";"101,82";"63,08";"143,48";"82,35";"107,32";"124,39";"85,71";"42,37";"66,10";"51,16";"94,12";"37,50";"101,01"
"221020 SAO JOSE DO PIAUI";"0";"171,54";"90,98";"71,64";"126,87";"135,04";"77,70";"112,39";"102,70";"70,16";"130,56";"103,70";"88,89";"95,37";"79,57";"80,00";"96,30";"91,58";"82,11";"86,67";"113,04";"85,51";"93,98";"69,23";"64,71";"99,71"
"221030 SAO JULIAO";"0";"19,58";"46,02";"111,40";"88,70";"141,25";"133,72";"114,44";"102,11";"116,67";"82,00";"94,00";"78,00";"107,00";"71,56";"58,90";"67,78";"61,19";"98,51";"63,01";"90,62";"71,88";"101,52";"82,89";"51,61";"85,00"
"221035 SAO LOURENCO DO PIAUI";"0";"79,17";"102,67";"96,05";"107,89";"174,58";"110,45";"104,55";"107,58";"118,64";"90,57";"109,43";"103,77";"94,34";"83,02";"100,00";"85,45";"63,64";"125,45";"110,53";"85,25";"62,30";"70,00";"115,00";"52,63";"101,45"
"221037 SAO LUIS DO PIAUI";"0";"26,92";"37,25";"11,76";"60,78";"101,85";"93,62";"128,57";"67,27";"81,63";"127,27";"109,09";"39,39";"112,12";"55,88";"77,42";"81,82";"148,00";"120,00";"64,71";"119,05";"95,24";"89,29";"68,00";"63,64";"84,78"
"221038 SAO MIGUEL DA BAIXA GRANDE";"0";"0";"0";"40,00";"15,00";"219,23";"88,46";"114,81";"96,30";"205,26";"81,25";"106,25";"75,00";"125,00";"68,57";"131,82";"62,50";"242,86";"214,29";"56,52";"200,00";"214,29";"65,38";"90,48";"88,89";"92,07"
"221039 SAO MIGUEL DO FIDALGO";"0";"82,61";"82,05";"63,64";"85,71";"75,00";"105,26";"74,63";"108,62";"109,43";"114,29";"102,38";"109,52";"76,19";"129,41";"75,00";"100,00";"157,69";"123,08";"82,76";"117,14";"162,86";"50,00";"92,50";"83,33";"99,36"
"221040 SAO MIGUEL DO TAPUIO";"0";"38,00";"109,97";"114,33";"126,90";"107,16";"83,37";"113,13";"116,98";"168,25";"109,78";"106,88";"82,25";"99,28";"99,13";"74,52";"107,25";"119,23";"94,02";"89,78";"86,12";"111,96";"100,89";"81,82";"51,25";"103,96"
"221050 SAO PEDRO DO PIAUI";"0";"59,86";"122,10";"96,04";"120,00";"115,13";"92,42";"149,70";"116,59";"91,21";"110,00";"99,00";"105,00";"103,50";"118,13";"75,90";"94,41";"112,17";"102,65";"83,66";"90,87";"74,78";"91,96";"95,72";"80,00";"105,00"
"221060 SAO RAIMUNDO NONATO";"0";"52,12";"95,32";"117,08";"112,83";"190,48";"93,14";"89,57";"95,89";"96,65";"97,35";"91,58";"102,03";"79,10";"99,49";"58,29";"81,60";"37,44";"68,30";"100,00";"91,28";"69,94";"84,63";"95,20";"65,22";"93,62"
"221062 SEBASTIAO BARROS";"0";"72,16";"46,49";"21,74";"118,10";"118,68";"102,27";"114,85";"103,16";"81,82";"101,22";"121,95";"70,73";"69,51";"84,62";"75,00";"15,15";"1,54";"55,38";"43,18";"42,62";"95,08";"24,44";"19,30";"66,67";"74,31"
"221063 SEBASTIAO LEAL";"0";"57,69";"84,29";"207,14";"173,24";"110,91";"154,39";"76,92";"91,30";"91,04";"138,18";"109,09";"158,18";"80,00";"87,76";"100,00";"46,55";"50,00";"115,91";"120,75";"70,69";"100,00";"69,84";"116,67";"84,00";"109,51"
"221065 SIGEFREDO PACHECO";"0";"36,60";"38,38";"9,09";"54,26";"57,89";"135,57";"133,33";"150,00";"87,23";"146,73";"99,07";"98,13";"85,98";"86,75";"89,42";"44,57";"96,26";"109,35";"112,00";"64,49";"48,60";"2,06";"95,00";"74,47";"79,29"
"221070 SIMOES";"0";"46,71";"118,91";"77,64";"32,27";"95,31";"70,28";"85,47";"104,10";"95,04";"87,94";"98,23";"98,23";"83,69";"112,35";"72,98";"92,27";"76,13";"90,99";"87,98";"104,42";"73,45";"131,98";"96,95";"85,19";"90,41"
"221080 SIMPLICIO MENDES";"0";"38,36";"105,39";"95,61";"150,00";"85,71";"108,46";"108,51";"106,59";"90,72";"88,40";"103,87";"106,63";"101,10";"92,70";"116,33";"48,10";"79,21";"92,70";"52,58";"90,29";"105,14";"45,92";"67,83";"71,23";"91,99"
"221090 SOCORRO DO PIAUI";"0";"26,55";"68,57";"12,50";"79,61";"183,93";"119,44";"84,62";"172,73";"75,90";"118,03";"116,39";"109,84";"106,56";"203,70";"70,69";"39,29";"31,71";"51,22";"89,13";"93,75";"102,08";"81,63";"132,43";"65,00";"87,93"
"221093 SUSSUAPARA";"0";"158,67";"96,70";"90,22";"129,79";"111,11";"90,91";"95,40";"94,79";"97,87";"116,47";"84,71";"98,82";"88,24";"112,35";"62,65";"97,18";"94,05";"115,48";"85,56";"136,99";"124,66";"73,68";"97,59";"72,73";"103,88"
"221095 TAMBORIL DO PIAUI";"0";"156,67";"70,18";"24,56";"121,43";"75,71";"227,03";"67,92";"89,47";"140,91";"78,18";"85,45";"52,73";"74,55";"100,00";"50,00";"138,89";"85,11";"74,47";"80,43";"137,21";"90,70";"87,80";"68,09";"23,53";"96,62"
"221097 TANQUE DO PIAUI";"0";"61,36";"127,50";"92,68";"119,51";"122,58";"100,00";"163,33";"95,12";"178,57";"102,50";"112,50";"92,50";"105,00";"134,48";"68,18";"65,38";"140,74";"133,33";"91,18";"113,16";"110,53";"75,68";"107,41";"75,00";"112,40"
"221100 TERESINA";"0";"73,90";"103,44";"108,18";"122,72";"105,03";"97,89";"94,38";"101,46";"90,57";"93,81";"90,76";"89,13";"99,70";"105,64";"94,56";"77,95";"81,66";"56,46";"88,80";"78,66";"70,14";"69,93";"73,53";"58,20";"92,25"
"221110 UNIAO";"0";"40,22";"69,92";"81,93";"55,14";"225,50";"305,42";"201,84";"161,54";"178,00";"175,47";"151,89";"172,64";"160,11";"134,14";"107,87";"79,24";"81,70";"96,58";"78,30";"93,03";"70,55";"47,96";"77,37";"50,17";"128,46"
"221120 URUCUI";"0";"100,28";"69,16";"99,14";"28,25";"90,39";"103,15";"141,30";"83,18";"99,24";"97,70";"97,47";"90,55";"98,62";"115,40";"103,06";"80,81";"81,91";"110,90";"87,38";"100,95";"97,14";"88,47";"92,76";"62,64";"96,99"
"221130 VALENCA DO PIAUI";"0";"100,57";"103,03";"121,92";"162,80";"152,01";"87,68";"92,63";"98,41";"88,31";"109,06";"96,52";"103,48";"105,92";"94,56";"118,32";"112,23";"68,06";"87,85";"79,75";"144,25";"105,92";"77,00";"86,67";"52,21";"107,65"
"221135 VARZEA BRANCA";"0";"39,84";"8,93";"55,26";"136,21";"98,77";"75,25";"123,61";"77,14";"92,31";"73,61";"94,44";"98,61";"106,94";"80,46";"89,47";"101,59";"123,61";"118,06";"87,18";"49,28";"65,22";"112,28";"85,88";"45,71";"84,25"
"221140 VARZEA GRANDE";"0";"32,14";"50,60";"148,19";"89,16";"100,00";"125,40";"132,35";"110,94";"131,88";"148,15";"100,00";"118,52";"135,19";"88,33";"94,92";"77,55";"104,76";"142,86";"105,77";"103,23";"108,06";"53,57";"97,14";"52,63";"102,11"
"221150 VERA MENDES";"0";"46,34";"143,90";"102,44";"92,86";"82,35";"111,36";"94,00";"55,38";"116,00";"112,77";"80,85";"85,11";"36,17";"155,56";"105,56";"61,11";"58,06";"83,87";"96,77";"147,22";"86,11";"79,07";"102,44";"68,75";"95,74"
"221160 VILA NOVA DO PIAUI";"0";"25,00";"0";"14,29";"151,02";"174,29";"231,25";"95,24";"65,22";"102,50";"93,62";"80,85";"178,72";"85,11";"130,30";"67,50";"96,88";"133,33";"162,96";"75,00";"127,78";"83,33";"74,07";"173,68";"83,33";"102,82"
"221170 WALL FERRAZ";"0";"25,64";"64,20";"124,69";"117,07";"94,57";"80,41";"106,25";"159,09";"147,83";"63,38";"101,41";"78,87";"61,97";"62,30";"86,96";"35,71";"100,00";"89,47";"100,00";"185,29";"117,65";"109,38";"57,14";"75,00";"94,37"
"230010 ABAIARA";"0";"67,36";"97,73";"84,18";"110,11";"139,83";"63,02";"176,53";"92,68";"83,94";"99,24";"91,67";"109,09";"100,76";"132,45";"187,74";"100,00";"102,22";"176,30";"207,44";"99,22";"79,07";"72,60";"78,15";"57,38";"112,60"
"230015 ACARAPE";"0";"73,65";"122,18";"117,56";"122,10";"115,58";"136,27";"129,58";"119,62";"119,44";"97,59";"87,95";"84,74";"77,11";"125,64";"119,01";"112,35";"113,92";"100,00";"102,65";"138,35";"99,51";"24,19";"96,26";"64,56";"110,87"
"230020 ACARAU";"0";"65,13";"114,13";"107,53";"114,15";"112,67";"103,21";"113,33";"125,85";"115,03";"108,95";"101,75";"105,57";"107,75";"106,54";"106,45";"103,93";"116,99";"109,33";"111,29";"94,32";"71,79";"85,95";"92,60";"69,06";"107,86"
"230030 ACOPIARA";"0";"62,29";"103,00";"93,85";"127,96";"105,61";"94,79";"91,76";"97,83";"100,38";"101,53";"109,81";"102,29";"87,52";"109,38";"120,52";"105,19";"104,12";"92,87";"115,92";"105,15";"95,91";"83,91";"83,30";"66,96";"104,06"
"230040 AIUABA";"0";"64,21";"99,12";"105,56";"92,17";"128,76";"87,45";"101,62";"92,58";"106,50";"107,05";"104,85";"84,14";"81,94";"106,63";"193,36";"90,00";"130,13";"194,23";"135,09";"109,24";"84,24";"104,57";"92,46";"70,59";"108,22"
"230050 ALCANTARAS";"0";"67,50";"100,42";"98,32";"97,50";"95,21";"133,33";"82,72";"115,66";"126,52";"97,04";"101,48";"115,56";"109,63";"135,38";"152,26";"59,24";"146,21";"146,90";"197,46";"95,87";"93,39";"100,00";"99,37";"62,50";"113,62"
"230060 ALTANEIRA";"0";"85,62";"105,22";"77,94";"98,55";"123,47";"100,68";"127,45";"102,86";"96,70";"55,56";"101,01";"161,62";"89,90";"158,33";"62,50";"63,33";"189,25";"159,14";"202,68";"170,80";"96,46";"64,62";"80,19";"63,04";"114,20"
"230070 ALTO SANTO";"0";"85,57";"93,67";"92,81";"106,50";"73,60";"104,66";"113,42";"113,27";"163,87";"150,00";"146,91";"144,85";"97,42";"91,55";"200,00";"97,74";"117,99";"96,83";"74,65";"92,22";"91,11";"74,16";"115,76";"79,49";"112,81"
"230075 AMONTADA";"0";"101,62";"123,31";"118,62";"122,55";"105,04";"116,74";"100,00";"95,69";"110,85";"104,50";"94,97";"95,37";"97,09";"131,16";"145,88";"163,46";"114,70";"145,53";"119,45";"140,44";"97,23";"110,01";"107,99";"69,57";"122,46"
"230080 ANTONINA DO NORTE";"0";"104,58";"100,00";"63,27";"88,67";"154,81";"106,62";"126,09";"96,43";"105,71";"119,83";"97,41";"102,59";"112,07";"80,17";"153,57";"100,89";"115,15";"171,72";"236,71";"86,46";"78,12";"81,55";"92,22";"60,61";"114,09"
"230090 APUIARES";"0";"104,68";"131,58";"117,06";"136,05";"176,82";"110,11";"133,69";"114,81";"133,76";"107,82";"134,08";"124,58";"111,73";"106,74";"168,75";"108,61";"138,51";"113,51";"120,30";"106,58";"95,39";"82,78";"100,00";"64,29";"126,88"
"230100 AQUIRAZ";"0";"89,75";"90,49";"88,69";"115,30";"162,33";"146,54";"119,07";"142,51";"172,16";"154,29";"132,37";"119,72";"118,10";"110,42";"141,28";"120,57";"115,58";"98,70";"99,73";"91,38";"64,23";"59,21";"78,91";"56,67";"116,02"
"230110 ARACATI";"0";"96,84";"125,04";"106,21";"114,49";"114,13";"124,18";"104,60";"130,13";"107,51";"100,67";"95,88";"105,65";"95,31";"116,60";"133,95";"119,48";"115,09";"72,14";"124,95";"89,84";"79,38";"64,28";"76,58";"51,91";"109,87"
"230120 ARACOIABA";"0";"105,80";"166,47";"112,48";"114,34";"90,84";"129,81";"105,21";"130,03";"129,53";"117,41";"119,40";"114,18";"113,68";"105,56";"171,23";"102,31";"84,29";"90,84";"83,25";"88,51";"69,97";"46,93";"108,70";"62,68";"115,15"
"230125 ARARENDA";"0";"38,31";"121,35";"100,52";"146,91";"116,36";"97,93";"120,00";"124,71";"128,67";"108,39";"110,49";"97,20";"93,01";"158,52";"211,30";"167,68";"122,22";"174,60";"117,39";"123,14";"128,93";"98,66";"106,34";"85,45";"120,22"
"230130 ARARIPE";"0";"95,82";"98,40";"99,80";"118,40";"103,73";"81,53";"123,91";"93,87";"84,73";"97,03";"113,24";"99,77";"101,37";"140,50";"263,96";"105,28";"101,45";"90,43";"84,66";"90,51";"84,10";"86,61";"100,60";"59,72";"110,02"
"230140 ARATUBA";"0";"114,72";"120,82";"114,64";"130,68";"189,27";"156,70";"151,35";"203,83";"160,82";"137,44";"117,73";"95,57";"100,99";"127,38";"90,43";"87,18";"97,22";"116,11";"216,45";"145,40";"84,66";"86,36";"116,89";"68,25";"136,36"
"230150 ARNEIROZ";"0";"66,86";"119,73";"94,59";"98,65";"100,83";"91,74";"156,41";"91,89";"78,99";"98,31";"100,00";"96,61";"98,31";"113,54";"134,82";"92,75";"118,37";"95,92";"77,38";"102,22";"144,44";"101,75";"91,30";"48,65";"105,88"
"230160 ASSARE";"0";"77,49";"88,41";"84,12";"101,49";"125,87";"97,98";"287,74";"124,71";"133,64";"148,35";"122,34";"122,34";"128,94";"121,77";"152,87";"101,35";"154,94";"103,95";"115,87";"90,21";"70,98";"70,81";"116,24";"68,64";"115,64"
